ID1;HHID;HVIDX;QHCLUSTER;QHNUMBER;QHHOME;PS92_1A;PS92_1M;PS92_1S;PS1
2022;      003406801;3;34;68;1;0;3;2;1
2022;      003706601;3;37;66;1;3;0;2;1
2022;      003811001;4;38;110;1;2;0;2;1
2022;      016800501;4;168;5;1;2;6;2;1
2022;      064300401;4;643;4;1;0;7;2;1
2022;      081012501;3;810;125;1;1;0;2;1
2022;      082300901;3;823;9;1;2;3;2;1
2022;      089900501;3;899;5;1;0;4;2;1
2022;      125410901;4;1254;109;1;3;1;2;1
2022;      134801601;3;1348;16;1;1;3;2;1
2022;      138105901;2;1381;59;1;0;2;2;1
2022;      150407701;3;1504;77;1;1;1;2;1
2022;      152900602;2;1529;6;2;3;2;2;1
2022;      175608701;4;1756;87;1;2;98;2;1
2022;      178706401;1;1787;64;1;0;2;2;1
2022;      201105201;3;2011;52;1;3;11;2;1
2022;      235804001;4;2358;40;1;1;0;2;1
2022;      242111301;3;2421;113;1;3;5;2;1
2022;      246310001;2;2463;100;1;2;7;2;1
2022;      248808601;7;2488;86;1;1;0;2;1
2022;      253207802;2;2532;78;2;0;2;2;1
2022;      258505701;4;2585;57;1;1;6;2;1
2022;      267503501;1;2675;35;1;4;7;2;1
2022;      268302001;3;2683;20;1;1;6;2;1
2022;      274509501;4;2745;95;1;2;4;2;1
2022;      277203501;3;2772;35;1;4;10;2;1
2022;      279307601;2;2793;76;1;3;11;2;1
2022;      282808901;6;2828;89;1;98;98;2;1
2022;      288103301;3;2881;33;1;2;0;1;1
2022;      288103301;4;2881;33;1;0;1;2;2
2022;      301508601;2;3015;86;1;3;3;2;1
2022;      326412501;2;3264;125;1;0;3;2;1
2022;      333907201;3;3339;72;1;2;6;2;1
2022;      340901401;3;3409;14;1;1;5;2;1
2022;      351305801;2;3513;58;1;4;0;2;1
2022;      361608501;3;3616;85;1;0;9;2;1
2022;      361917501;2;3619;175;1;4;5;2;1
2022;      366400901;3;3664;9;1;4;0;2;1
2022;      366403801;3;3664;38;1;4;0;2;1
2022;      369404801;3;3694;48;1;3;6;2;1
2022;      369602201;2;3696;22;1;1;5;2;1
2022;      370107601;3;3701;76;1;1;0;2;1
2022;      372907301;5;3729;73;1;4;0;2;1
2022;      384308601;2;3843;86;1;1;11;2;1
2022;      388204701;3;3882;47;1;0;5;2;1
2022;      393402701;5;3934;27;1;2;8;2;1
2022;      398700201;3;3987;2;1;1;0;2;1
2022;      415806901;4;4158;69;1;0;9;2;1
2022;      423901801;3;4239;18;1;0;4;2;1
2022;      431005601;3;4310;56;1;1;6;2;1
