ID1;HHID;HVIDX;QHCLUSTER;QHNUMBER;QHHOME;PS104_1A;PS104_1M;PS104_1S;PS5
2022;      000705401;2;7;54;1;4;3;2;1
2022;      000910301;1;9;103;1;2;0;2;1
2022;      001000901;1;10;9;1;1;0;2;1
2022;      001104001;2;11;40;1;10;0;2;1
2022;      001106401;2;11;64;1;1;1;2;1
2022;      001301401;2;13;14;1;2;2;2;1
2022;      002306301;2;23;63;1;0;3;2;1
2022;      003706501;2;37;65;1;15;0;2;1
2022;      004500601;5;45;6;1;0;7;2;1
2022;      004503501;2;45;35;1;2;10;2;1
2022;      004508501;2;45;85;1;5;0;2;1
2022;      004508701;1;45;87;1;0;6;2;1
2022;      004905901;1;49;59;1;1;0;2;1
2022;      009203101;1;92;31;1;7;3;1;1
2022;      009203101;2;92;31;1;7;3;1;2
2022;      009203101;3;92;31;1;7;3;2;3
2022;      009614501;1;96;145;1;1;0;2;1
2022;      009614601;3;96;146;1;1;0;2;1
2022;      009614801;1;96;148;1;18;0;2;1
2022;      010306601;1;103;66;1;19;0;2;1
2022;      010900201;2;109;2;1;6;0;2;1
2022;      010900401;1;109;4;1;9;0;2;1
2022;      010903201;2;109;32;1;0;1;2;1
2022;      010903401;2;109;34;1;17;0;2;1
2022;      011301301;2;113;13;1;5;2;2;1
2022;      011302901;2;113;29;1;1;3;2;1
2022;      011303601;1;113;36;1;1;0;2;1
2022;      011303801;2;113;38;1;1;3;2;1
2022;      011904401;5;119;44;1;1;0;2;1
2022;      013400101;2;134;1;1;15;0;2;1
2022;      014102801;2;141;28;1;3;0;2;1
2022;      014104001;2;141;40;1;1;0;2;1
2022;      014104101;2;141;41;1;0;1;2;1
2022;      014110401;2;141;104;1;4;0;2;1
2022;      014110501;1;141;105;1;0;2;2;1
2022;      014317201;2;143;172;1;0;2;2;1
2022;      014405201;2;144;52;1;5;6;2;1
2022;      014605601;1;146;56;1;1;0;2;1
2022;      014605901;3;146;59;1;2;0;2;1
2022;      014616801;2;146;168;1;3;0;2;1
2022;      014706401;2;147;64;1;4;0;2;1
2022;      014707201;2;147;72;1;0;3;2;1
2022;      014707301;2;147;73;1;0;2;2;1
2022;      014904901;2;149;49;1;1;0;2;1
2022;      014906501;2;149;65;1;8;0;2;1
2022;      015202901;2;152;29;1;10;1;2;1
2022;      015203001;2;152;30;1;10;5;2;1
2022;      015302501;1;153;25;1;1;3;2;1
2022;      015401201;2;154;12;1;1;0;2;1
2022;      015505901;2;155;59;1;19;0;2;1
2022;      015708001;2;157;80;1;0;3;2;1
2022;      016203901;1;162;39;1;1;0;2;1
2022;      016211001;1;162;110;1;5;3;2;1
2022;      016308801;2;163;88;1;1;0;2;1
2022;      016406901;2;164;69;1;1;0;2;1
2022;      016504201;2;165;42;1;0;6;2;1
2022;      016504501;1;165;45;1;19;98;2;1
2022;      016510401;2;165;104;1;0;1;1;1
2022;      016510401;3;165;104;1;0;1;2;2
2022;      016601301;2;166;13;1;19;0;2;1
2022;      016601401;2;166;14;1;19;0;2;1
2022;      016602901;1;166;29;1;12;0;2;1
2022;      016603501;2;166;35;1;10;0;2;1
2022;      016603701;2;166;37;1;0;1;2;1
2022;      016703201;1;167;32;1;0;6;2;1
2022;      016706001;2;167;60;1;2;2;2;1
2022;      016708501;2;167;85;1;1;0;2;1
2022;      021500601;2;215;6;1;7;4;2;1
2022;      022604801;2;226;48;1;1;0;2;1
2022;      025202901;2;252;29;1;1;0;2;1
2022;      026603101;1;266;31;1;4;0;2;1
2022;      026609701;2;266;97;1;2;0;2;1
2022;      026907101;1;269;71;1;1;0;2;1
2022;      027307401;2;273;74;1;10;0;2;1
2022;      027307701;2;273;77;1;0;6;2;1
2022;      027600101;1;276;1;1;2;0;2;1
2022;      027600201;2;276;2;1;1;0;2;1
