ID1;HHID;HVIDX;QHCLUSTER;QHNUMBER;QHHOME;PS109_1R;PS109_1A;PS109_1M;PS109_1S;PS7
2022;      000300601;5;3;6;1;1;0;1;2;1
2022;      000301201;4;3;12;1;1;1;2;2;1
2022;      000302201;3;3;22;1;1;6;2;1;1
2022;      000302201;4;3;22;1;1;3;2;1;2
2022;      000302201;5;3;22;1;1;0;2;2;3
2022;      000601501;3;6;15;1;1;3;1;2;1
2022;      000602501;3;6;25;1;1;2;1;1;1
2022;      000602501;4;6;25;1;1;0;1;2;2
2022;      000603801;3;6;38;1;1;7;1;2;1
2022;      000617601;2;6;176;1;1;5;1;1;1
2022;      000617601;3;6;176;1;1;3;1;1;2
2022;      000617601;9;6;176;1;1;98;1;2;3
2022;      000701001;3;7;10;1;1;8;1;1;1
2022;      000701001;4;7;10;1;1;3;1;2;2
2022;      000701901;3;7;19;1;1;0;1;2;1
2022;      000704801;3;7;48;1;1;3;1;2;1
2022;      000705701;3;7;57;1;1;4;1;1;1
2022;      000705701;4;7;57;1;1;3;1;2;2
2022;      000707801;3;7;78;1;1;5;1;2;1
2022;      000708801;4;7;88;1;1;0;1;2;1
2022;      000804501;4;8;45;1;1;2;3;2;1
2022;      000805601;5;8;56;1;1;5;2;2;1
2022;      000806201;3;8;62;1;1;2;1;2;1
2022;      000811401;5;8;114;1;1;8;2;2;1
2022;      000813201;3;8;132;1;1;8;2;1;1
2022;      000813201;4;8;132;1;1;1;2;2;2
2022;      000815001;4;8;150;1;1;7;2;2;1
2022;      001106401;3;11;64;1;1;5;3;2;1
2022;      001108401;4;11;84;1;1;1;1;2;1
2022;      001110201;3;11;102;1;1;0;1;2;1
2022;      001204801;4;12;48;1;1;0;1;2;1
2022;      001205101;2;12;51;1;1;0;1;2;1
2022;      001210901;3;12;109;1;1;2;1;2;1
2022;      001212601;3;12;126;1;1;3;1;2;1
2022;      001502201;4;15;22;1;1;5;2;1;1
2022;      001502201;5;15;22;1;1;1;2;2;2
2022;      001502401;2;15;24;1;1;4;3;2;1
2022;      001506901;5;15;69;1;1;0;2;2;1
2022;      001509201;3;15;92;1;1;6;3;1;1
2022;      001509201;4;15;92;1;1;0;1;2;2
2022;      001512401;3;15;124;1;1;8;3;1;1
2022;      001512401;4;15;124;1;1;0;3;2;2
2022;      001513101;3;15;131;1;1;1;3;2;1
2022;      001604101;5;16;41;1;1;1;3;2;1
