ID1;HHID;HVIDX;QHCLUSTER;QHNUMBER;QHHOME;PS102_1A;PS102_1M;PS102_1S;PS4
2022;      000302201;2;3;22;1;0;3;1;1
2022;      000302201;5;3;22;1;0;3;2;2
2022;      000705701;5;7;57;1;2;3;2;1
2022;      000707801;4;7;78;1;1;0;2;1
2022;      000813201;4;8;132;1;1;4;2;1
2022;      000910301;6;9;103;1;1;6;2;1
2022;      000912201;3;9;122;1;4;7;1;1
2022;      000912201;4;9;122;1;0;4;2;2
2022;      001000901;3;10;9;1;0;6;2;1
2022;      001003401;5;10;34;1;1;2;2;1
2022;      001005201;4;10;52;1;0;3;2;1
2022;      001009301;2;10;93;1;1;0;2;1
2022;      001106401;4;11;64;1;1;1;2;1
2022;      001207401;4;12;74;1;2;0;2;1
2022;      001301401;2;13;14;1;4;0;2;1
2022;      001302101;4;13;21;1;3;0;2;1
2022;      001304401;6;13;44;1;3;0;2;1
2022;      001304502;2;13;45;2;1;3;2;1
2022;      001304601;4;13;46;1;2;0;2;1
2022;      001305601;4;13;56;1;3;3;2;1
2022;      001306101;4;13;61;1;3;0;2;1
2022;      001309001;2;13;90;1;4;0;2;1
2022;      001502201;5;15;22;1;4;3;2;1
2022;      001502501;5;15;25;1;1;0;2;1
2022;      001513101;3;15;131;1;3;0;2;1
2022;      001601801;3;16;18;1;0;5;2;1
2022;      001603101;2;16;31;1;3;3;2;1
2022;      001607001;5;16;70;1;0;3;2;1
2022;      001700901;5;17;9;1;1;4;2;1
2022;      001701501;1;17;15;1;0;6;2;1
2022;      001706401;4;17;64;1;0;6;2;1
2022;      001712501;6;17;125;1;4;3;2;1
2022;      001803201;4;18;32;1;1;0;2;1
2022;      001806801;1;18;68;1;1;0;2;1
2022;      002005601;3;20;56;1;0;1;2;1
2022;      002009501;4;20;95;1;3;1;2;1
2022;      002012101;3;20;121;1;1;4;2;1
2022;      002013001;3;20;130;1;0;3;2;1
2022;      002101501;4;21;15;1;4;0;2;1
2022;      002106101;3;21;61;1;2;0;2;1
2022;      002107401;4;21;74;1;2;4;2;1
2022;      002110801;3;21;108;1;1;4;2;1
2022;      002111501;4;21;115;1;2;3;2;1
2022;      002112001;4;21;120;1;1;0;2;1
2022;      002200801;4;22;8;1;3;0;2;1
2022;      002207901;3;22;79;1;3;0;2;1
2022;      002209301;4;22;93;1;0;5;2;1
2022;      002210601;3;22;106;1;1;0;2;1
2022;      002305101;7;23;51;1;0;3;2;1
2022;      002306301;3;23;63;1;1;0;2;1
2022;      002307801;3;23;78;1;3;0;2;1
2022;      002705501;5;27;55;1;1;3;2;1
2022;      002901401;4;29;14;1;4;2;1;1
2022;      002901401;8;29;14;1;3;8;1;2
2022;      002901401;9;29;14;1;2;9;2;3
2022;      002901601;3;29;16;1;2;0;2;1
2022;      002901801;5;29;18;1;3;5;1;1
2022;      002901801;6;29;18;1;1;5;2;2
2022;      002902201;7;29;22;1;3;4;2;1
2022;      002902301;5;29;23;1;1;1;2;1
2022;      002902501;3;29;25;1;1;1;2;1
2022;      002902601;9;29;26;1;1;4;2;1
2022;      002908401;5;29;84;1;2;0;1;1
2022;      002908401;6;29;84;1;0;4;2;2
2022;      002908701;2;29;87;1;0;2;2;1
2022;      003001401;7;30;14;1;5;5;2;1
2022;      003001501;3;30;15;1;2;6;2;1
2022;      003001601;5;30;16;1;3;0;2;1
2022;      003014401;3;30;144;1;2;1;2;1
2022;      003014601;4;30;146;1;1;3;1;1
2022;      003014601;5;30;146;1;1;3;2;2
2022;      003100401;4;31;4;1;2;0;2;1
2022;      003101601;6;31;16;1;3;0;2;1
2022;      003101701;5;31;17;1;1;11;2;1
2022;      003303101;6;33;31;1;0;6;2;1
2022;      003303201;3;33;32;1;5;1;1;1
2022;      003303201;4;33;32;1;3;1;2;2
2022;      003308801;7;33;88;1;0;6;2;1
2022;      003309701;5;33;97;1;2;1;2;1
2022;      003309801;6;33;98;1;1;1;2;1
2022;      003401201;3;34;12;1;2;0;1;1
2022;      003401201;4;34;12;1;1;0;2;2
2022;      003401401;5;34;14;1;3;0;1;1
2022;      003401401;6;34;14;1;2;0;2;2
2022;      003405501;6;34;55;1;3;1;2;1
2022;      003406001;4;34;60;1;1;0;2;1
2022;      003406201;6;34;62;1;1;5;2;1
2022;      003406401;4;34;64;1;1;0;2;1
2022;      003406501;3;34;65;1;5;1;2;1
2022;      003504501;6;35;45;1;4;6;1;1
2022;      003504501;7;35;45;1;4;6;2;2
2022;      003504601;5;35;46;1;5;3;2;1
2022;      003609501;4;36;95;1;3;7;2;1
2022;      003609601;4;36;96;1;1;0;2;1
2022;      003701701;4;37;17;1;0;1;2;1
2022;      003706501;8;37;65;1;0;6;2;1
2022;      003706601;6;37;66;1;4;0;2;1
2022;      003803501;4;38;35;1;2;11;2;1
2022;      003803901;3;38;39;1;3;2;2;1
2022;      003809801;4;38;98;1;0;7;2;1
2022;      003810801;2;38;108;1;4;0;2;1
2022;      003811101;5;38;111;1;3;8;1;1
2022;      003811101;6;38;111;1;0;1;2;2
2022;      003901701;2;39;17;1;1;1;2;1
2022;      003911601;3;39;116;1;2;0;2;1
2022;      004001001;5;40;10;1;2;4;1;1
2022;      004001001;6;40;10;1;0;8;2;2
2022;      004008001;8;40;80;1;4;3;2;1
2022;      004012201;3;40;122;1;0;8;1;1
2022;      004012201;4;40;122;1;0;8;2;2
2022;      004012301;3;40;123;1;2;4;2;1
2022;      004012401;4;40;124;1;1;2;2;1
2022;      004208201;3;42;82;1;2;5;1;1
2022;      004208201;4;42;82;1;0;11;2;2
2022;      004208801;5;42;88;1;2;0;2;1
2022;      004210401;5;42;104;1;1;0;2;1
2022;      004210601;3;42;106;1;1;6;2;1
2022;      004216601;5;42;166;1;0;5;2;1
2022;      004217001;3;42;170;1;0;5;2;1
2022;      004217301;4;42;173;1;1;0;2;1
2022;      004404901;3;44;49;1;3;0;2;1
2022;      004405101;3;44;51;1;1;0;2;1
2022;      004406101;7;44;61;1;1;0;2;1
2022;      004406801;7;44;68;1;1;0;2;1
2022;      004407201;2;44;72;1;0;98;2;1
2022;      004407301;4;44;73;1;2;0;2;1
2022;      004500601;6;45;6;1;1;0;2;1
2022;      004503301;8;45;33;1;1;0;2;1
2022;      004503501;3;45;35;1;2;6;2;1
2022;      004508401;3;45;84;1;3;0;1;1
2022;      004508401;4;45;84;1;0;10;2;2
2022;      004508701;3;45;87;1;0;6;2;1
2022;      004508901;5;45;89;1;4;0;2;1
2022;      004509001;3;45;90;1;0;7;2;1
2022;      004801401;2;48;14;1;0;7;2;1
2022;      004808001;4;48;80;1;1;7;2;1
2022;      004808401;5;48;84;1;0;2;2;1
2022;      004902901;4;49;29;1;4;0;2;1
2022;      004904501;6;49;45;1;5;0;2;1
2022;      004905801;4;49;58;1;3;1;2;1
2022;      005100501;5;51;5;1;1;6;2;1
2022;      005100801;3;51;8;1;4;3;2;1
2022;      005101301;6;51;13;1;2;3;2;1
2022;      005101501;5;51;15;1;0;1;2;1
2022;      005107801;5;51;78;1;1;5;2;1
2022;      005107901;2;51;79;1;1;1;2;1
2022;      005108001;4;51;80;1;2;2;2;1
2022;      005108101;3;51;81;1;2;5;2;1
2022;      005112601;6;51;126;1;0;4;2;1
2022;      005113101;6;51;131;1;0;1;2;1
2022;      005114501;3;51;145;1;1;5;2;1
2022;      005114701;3;51;147;1;1;4;2;1
2022;      005308701;5;53;87;1;0;2;2;1
2022;      005309201;6;53;92;1;1;0;2;1
2022;      005309301;5;53;93;1;2;7;2;1
2022;      005311301;4;53;113;1;2;7;2;1
2022;      005311501;4;53;115;1;0;1;2;1
2022;      005400101;9;54;1;1;2;0;2;1
2022;      005400301;5;54;3;1;2;4;2;1
2022;      005401801;5;54;18;1;4;1;2;1
2022;      005402801;5;54;28;1;5;4;1;1
2022;      005402801;6;54;28;1;0;3;1;2
2022;      005402801;7;54;28;1;0;6;1;3
2022;      005402801;8;54;28;1;1;0;2;4
2022;      005403201;5;54;32;1;6;4;1;1
2022;      005403201;6;54;32;1;3;4;2;2
2022;      005701701;5;57;17;1;1;11;2;1
2022;      005701801;6;57;18;1;2;0;2;1
2022;      005702001;3;57;20;1;2;1;2;1
2022;      005706601;2;57;66;1;0;1;2;1
2022;      005706701;4;57;67;1;4;0;2;1
2022;      005707001;4;57;70;1;0;5;2;1
2022;      005707201;3;57;72;1;2;0;2;1
2022;      005711601;6;57;116;1;1;0;2;1
2022;      005712001;4;57;120;1;1;0;2;1
2022;      005802601;4;58;26;1;3;5;2;1
2022;      005803701;2;58;37;1;2;3;1;1
2022;      005803701;3;58;37;1;0;3;2;2
2022;      005804101;3;58;41;1;3;4;2;1
2022;      005809501;3;58;95;1;1;0;2;1
2022;      005810001;3;58;100;1;0;5;1;1
2022;      005810001;4;58;100;1;0;5;2;2
2022;      005810501;4;58;105;1;3;6;2;1
2022;      005812701;5;58;127;1;3;8;2;1
2022;      006305902;3;63;59;2;2;3;2;1
2022;      006804101;7;68;41;1;0;5;1;1
2022;      006804101;8;68;41;1;0;4;2;2
2022;      006804801;5;68;48;1;5;1;2;1
2022;      008006401;5;80;64;1;4;0;2;1
2022;      008705801;8;87;58;1;0;6;2;1
2022;      008707401;6;87;74;1;1;2;1;1
2022;      008707401;10;87;74;1;1;2;1;2
2022;      008707401;13;87;74;1;0;1;2;3
2022;      008801701;5;88;17;1;0;2;2;1
2022;      009200401;4;92;4;1;0;4;2;1
2022;      009204901;3;92;49;1;4;10;1;1
2022;      009204901;4;92;49;1;1;6;2;2
2022;      009405101;3;94;51;1;2;0;2;1
2022;      009407101;6;94;71;1;1;6;2;1
2022;      009602901;5;96;29;1;0;10;2;1
2022;      009614501;4;96;145;1;5;0;1;1
2022;      009614501;5;96;145;1;5;0;2;2
2022;      009614601;6;96;146;1;4;0;2;1
2022;      009614701;3;96;147;1;5;0;1;1
2022;      009614701;4;96;147;1;2;0;2;2
2022;      009802001;6;98;20;1;1;4;2;1
2022;      009802501;5;98;25;1;0;2;2;1
2022;      009805201;5;98;52;1;1;8;1;1
2022;      009805201;6;98;52;1;1;8;2;2
2022;      009810301;5;98;103;1;4;0;2;1
2022;      009901801;3;99;18;1;2;6;2;1
2022;      009902701;4;99;27;1;3;0;2;1
2022;      009903101;3;99;31;1;1;0;2;1
2022;      009903601;4;99;36;1;4;0;2;1
2022;      009904301;4;99;43;1;3;0;2;1
2022;      009906201;3;99;62;1;0;2;1;1
2022;      009906201;4;99;62;1;0;2;2;2
2022;      009906401;5;99;64;1;4;0;2;1
2022;      009906801;3;99;68;1;2;3;2;1
2022;      009908801;6;99;88;1;1;0;1;1
2022;      009908801;7;99;88;1;1;0;2;2
2022;      009909401;3;99;94;1;0;7;2;1
2022;      009909801;5;99;98;1;2;0;2;1
2022;      009910501;4;99;105;1;2;5;2;1
2022;      010000701;4;100;7;1;1;7;2;1
2022;      010002101;3;100;21;1;2;0;2;1
2022;      010002701;4;100;27;1;3;3;1;1
2022;      010002701;5;100;27;1;1;0;2;2
2022;      010002901;5;100;29;1;4;0;2;1
2022;      010004701;6;100;47;1;2;10;2;1
2022;      010005901;6;100;59;1;3;0;2;1
2022;      010103401;2;101;34;1;1;0;2;1
2022;      010103501;3;101;35;1;5;0;2;1
2022;      010103601;5;101;36;1;0;10;2;1
2022;      010105601;6;101;56;1;1;3;2;1
2022;      010105801;4;101;58;1;3;0;1;1
2022;      010105801;5;101;58;1;1;0;2;2
2022;      010108501;4;101;85;1;3;7;2;1
2022;      010303601;5;103;36;1;2;10;2;1
2022;      010304901;5;103;49;1;2;0;1;1
2022;      010304901;6;103;49;1;1;0;2;2
2022;      010306501;5;103;65;1;0;11;2;1
2022;      010306901;1;103;69;1;3;0;2;1
2022;      010307001;2;103;70;1;0;9;2;1
2022;      010307101;4;103;71;1;0;5;2;1
2022;      010307201;1;103;72;1;8;0;2;1
2022;      010403901;3;104;39;1;3;5;1;1
2022;      010403901;4;104;39;1;0;5;2;2
2022;      010404101;3;104;41;1;1;0;2;1
2022;      010408701;3;104;87;1;1;0;2;1
2022;      010605201;2;106;52;1;5;0;1;1
2022;      010605201;3;106;52;1;1;6;2;2
2022;      010606201;3;106;62;1;4;6;2;1
2022;      010710801;3;107;108;1;0;1;2;1
2022;      010900201;6;109;2;1;4;2;1;1
2022;      010900201;7;109;2;1;2;0;1;2
2022;      010900201;8;109;2;1;0;2;2;3
2022;      010900501;3;109;5;1;1;11;2;1
2022;      010902601;4;109;26;1;5;0;2;1
2022;      010903101;7;109;31;1;4;4;2;1
2022;      010903201;4;109;32;1;4;6;2;1
2022;      010903501;3;109;35;1;4;8;1;1
2022;      010903501;4;109;35;1;2;2;2;2
2022;      011000101;5;110;1;1;3;5;2;1
2022;      011000301;4;110;3;1;5;0;2;1
2022;      011000501;8;110;5;1;5;0;2;1
2022;      011002001;4;110;20;1;5;5;1;1
2022;      011002001;5;110;20;1;3;5;2;2
2022;      011002901;4;110;29;1;3;0;2;1
2022;      011005401;2;110;54;1;0;5;1;1
2022;      011005401;3;110;54;1;4;5;1;2
2022;      011005401;4;110;54;1;2;5;1;3
2022;      011005401;5;110;54;1;0;5;2;4
2022;      011007501;7;110;75;1;3;0;1;1
2022;      011007501;8;110;75;1;2;0;2;2
2022;      011009501;4;110;95;1;3;1;2;1
2022;      011010901;5;110;109;1;1;5;2;1
2022;      011011101;4;110;111;1;3;0;2;1
2022;      011012301;3;110;123;1;1;0;2;1
2022;      011100101;3;111;1;1;0;2;2;1
2022;      011100601;3;111;6;1;5;4;1;1
2022;      011100601;4;111;6;1;2;4;2;2
2022;      011101801;5;111;18;1;6;0;1;1
2022;      011101801;6;111;18;1;3;8;2;2
2022;      011103901;4;111;39;1;4;5;2;1
2022;      011104001;4;111;40;1;3;0;2;1
2022;      011202901;2;112;29;1;0;7;1;1
2022;      011202901;3;112;29;1;0;5;2;2
2022;      011203101;7;112;31;1;1;3;2;1
2022;      011203301;3;112;33;1;5;8;1;1
2022;      011203301;4;112;33;1;3;0;2;2
2022;      011203401;4;112;34;1;3;1;2;1
2022;      011203701;3;112;37;1;4;6;2;1
2022;      011203801;5;112;38;1;2;5;2;1
2022;      011204001;5;112;40;1;1;10;2;1
2022;      011204201;3;112;42;1;3;0;2;1
2022;      011206001;2;112;60;1;11;0;1;1
2022;      011206001;3;112;60;1;4;0;1;2
2022;      011206001;4;112;60;1;0;3;2;3
2022;      011206601;5;112;66;1;2;8;2;1
2022;      011206701;6;112;67;1;3;0;2;1
2022;      011300901;3;113;9;1;2;3;2;1
2022;      011301301;2;113;13;1;0;1;2;1
2022;      011302001;3;113;20;1;2;3;1;1
2022;      011302001;4;113;20;1;1;3;2;2
2022;      011302501;3;113;25;1;0;8;2;1
2022;      011302901;7;113;29;1;2;3;2;1
2022;      011303601;2;113;36;1;2;0;1;1
2022;      011303601;3;113;36;1;1;0;2;2
2022;      011303801;3;113;38;1;1;3;2;1
2022;      011305101;3;113;51;1;0;1;2;1
2022;      011306101;2;113;61;1;4;0;1;1
2022;      011306101;3;113;61;1;4;0;2;2
2022;      011601501;3;116;15;1;1;0;1;1
2022;      011601501;4;116;15;1;1;0;2;2
2022;      011704901;7;117;49;1;2;3;2;1
2022;      011706401;2;117;64;1;0;7;2;1
2022;      011710301;4;117;103;1;1;0;2;1
2022;      011710801;3;117;108;1;0;1;2;1
2022;      012005301;2;120;53;1;2;0;1;1
2022;      012005301;3;120;53;1;2;0;1;2
2022;      012005301;4;120;53;1;1;0;2;3
2022;      012009401;2;120;94;1;2;0;2;1
2022;      012115901;4;121;159;1;0;2;2;1
2022;      012504101;5;125;41;1;3;2;1;1
2022;      012504101;6;125;41;1;2;3;2;2
2022;      012505901;2;125;59;1;3;10;2;1
2022;      012507701;4;125;77;1;0;4;2;1
2022;      012508901;4;125;89;1;3;9;2;1
2022;      012511701;4;125;117;1;4;0;1;1
2022;      012511701;5;125;117;1;2;0;2;2
2022;      012603301;2;126;33;1;0;1;2;1
2022;      012606501;3;126;65;1;2;0;2;1
2022;      012609601;7;126;96;1;2;0;2;1
2022;      013107401;3;131;74;1;1;0;2;1
2022;      013406001;2;134;60;1;1;0;2;1
2022;      013409501;5;134;95;1;1;0;2;1
2022;      013501701;4;135;17;1;6;6;1;1
2022;      013501701;5;135;17;1;2;11;2;2
2022;      013504701;4;135;47;1;1;0;2;1
2022;      013509001;6;135;90;1;0;2;2;1
2022;      013509601;2;135;96;1;0;8;2;1
2022;      013601701;3;136;17;1;2;6;2;1
2022;      013603001;4;136;30;1;1;0;2;1
2022;      013701101;2;137;11;1;0;3;2;1
2022;      014104001;4;141;40;1;1;0;2;1
2022;      014104201;5;141;42;1;0;3;2;1
2022;      014110101;3;141;101;1;4;10;2;1
2022;      014110301;5;141;103;1;3;1;1;1
2022;      014110301;6;141;103;1;1;0;2;2
2022;      014207901;5;142;79;1;1;0;2;1
2022;      014208101;4;142;81;1;0;6;2;1
2022;      014208201;5;142;82;1;1;0;2;1
2022;      014209201;7;142;92;1;1;0;1;1
2022;      014209201;8;142;92;1;0;6;2;2
2022;      014213101;7;142;131;1;1;3;1;1
2022;      014213101;8;142;131;1;4;3;2;2
2022;      014213201;4;142;132;1;0;6;2;1
2022;      014303101;5;143;31;1;0;3;2;1
2022;      014303201;7;143;32;1;3;3;2;1
2022;      014304701;4;143;47;1;1;2;2;1
2022;      014316701;4;143;167;1;2;1;2;1
2022;      014316801;4;143;168;1;4;1;2;1
2022;      014316901;2;143;169;1;2;2;2;1
2022;      014317301;4;143;173;1;0;2;1;1
2022;      014317301;5;143;173;1;0;2;2;2
2022;      014405101;5;144;51;1;3;6;2;1
2022;      014407101;4;144;71;1;0;3;2;1
2022;      014407201;4;144;72;1;1;0;1;1
2022;      014407201;5;144;72;1;0;6;2;2
2022;      014409401;6;144;94;1;1;0;2;1
2022;      014605501;4;146;55;1;1;0;2;1
2022;      014605601;3;146;56;1;5;7;1;1
2022;      014605601;4;146;56;1;0;11;2;2
2022;      014616801;4;146;168;1;4;0;2;1
2022;      014706301;3;147;63;1;2;0;1;1
2022;      014706301;4;147;63;1;0;2;2;2
2022;      014707301;4;147;73;1;1;7;2;1
2022;      014713601;5;147;136;1;1;3;2;1
2022;      014713801;5;147;138;1;5;2;2;1
2022;      014801701;3;148;17;1;2;3;2;1
2022;      014801801;5;148;18;1;0;1;2;1
2022;      014809701;4;148;97;1;3;4;1;1
2022;      014809701;5;148;97;1;0;1;2;2
2022;      014904901;4;149;49;1;2;0;2;1
2022;      014905301;7;149;53;1;4;3;2;1
2022;      014905501;2;149;55;1;1;0;2;1
2022;      014906001;4;149;60;1;1;0;2;1
2022;      014906501;5;149;65;1;4;0;2;1
2022;      014907501;7;149;75;1;3;0;1;1
2022;      014907501;8;149;75;1;1;6;2;2
2022;      014910001;3;149;100;1;0;1;1;1
2022;      014910001;4;149;100;1;0;1;2;2
2022;      015000801;3;150;8;1;3;0;2;1
2022;      015004901;4;150;49;1;2;3;2;1
2022;      015007001;3;150;70;1;3;0;2;1
2022;      015007201;4;150;72;1;0;8;2;1
2022;      015008401;3;150;84;1;0;1;2;1
2022;      015202901;4;152;29;1;1;9;2;1
2022;      015205701;3;152;57;1;1;6;2;1
2022;      015206401;6;152;64;1;3;5;2;1
2022;      015208001;5;152;80;1;1;2;2;1
2022;      015208101;5;152;81;1;2;8;2;1
2022;      015300401;4;153;4;1;3;0;2;1
2022;      015301301;2;153;13;1;1;6;2;1
2022;      015302501;7;153;25;1;3;98;2;1
2022;      015303201;4;153;32;1;3;1;2;1
2022;      015308301;3;153;83;1;0;2;2;1
2022;      015313301;4;153;133;1;0;3;2;1
2022;      015315001;8;153;150;1;4;0;2;1
2022;      015400701;4;154;7;1;4;1;1;1
2022;      015400701;5;154;7;1;0;8;2;2
2022;      015404901;1;154;49;1;10;0;2;1
2022;      015405801;4;154;58;1;0;6;2;1
2022;      015405901;2;154;59;1;2;6;2;1
2022;      015409701;4;154;97;1;1;6;2;1
2022;      015503801;4;155;38;1;1;0;1;1
2022;      015503801;5;155;38;1;1;0;2;2
2022;      015504001;2;155;40;1;2;0;2;1
2022;      015506001;3;155;60;1;1;0;1;1
2022;      015506001;4;155;60;1;0;1;2;2
2022;      015508601;5;155;86;1;1;1;2;1
2022;      015509001;3;155;90;1;2;0;2;1
2022;      015711301;4;157;113;1;4;0;2;1
2022;      016201801;3;162;18;1;2;0;2;1
