ID1;HHID;QHCLUSTER;QHNUMBER;QHHOME;QH91;QH93;QH95;QH96;QH96A;QH96M;QH96AC;QH97D;QH97M;QH97A;QH99;QH101;QH103;QH106;QHVIOLEN
2022;      000101701;1;17;1; ;2;2; ; ; ; ; ; ; ;2;2;2; ;0
2022;      000102201;1;22;1;2;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000105201;1;52;1;2;2;2; ; ; ; ; ; ; ; ;2;2; ;2
2022;      000105301;1;53;1; ;2;2; ; ; ; ; ; ; ; ;2;2;2;1
2022;      000105501;1;55;1; ;2;2; ; ; ; ; ; ; ; ;2;2; ;0
2022;      000108301;1;83;1;2;2;2; ; ; ; ; ; ; ; ;2;2; ;2
2022;      000108501;1;85;1; ;2;2; ; ; ; ; ; ; ; ;2;2; ;2
2022;      000110301;1;103;1;2;2;2; ; ; ; ; ; ; ; ;2;2; ;2
2022;      000110701;1;107;1; ;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000300601;3;6;1;2;2;2; ; ; ; ; ; ; ; ;2;2;2;3
2022;      000301201;3;12;1; ;2;2; ; ; ; ; ; ; ; ;2;2; ;2
2022;      000302201;3;22;1; ;2;1;1;0;2;2; ; ; ; ;1;2;2;2
2022;      000306001;3;60;1;2;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000307101;3;71;1; ;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000307201;3;72;1; ;2;2; ; ; ; ; ; ; ;2;2;2; ;2
2022;      000308901;3;89;1;2;2;2; ; ; ; ; ; ; ; ;2;2; ;1
2022;      000309701;3;97;1;2;2;2; ; ; ; ; ; ; ;1;2;2; ;0
2022;      000312501;3;125;1; ;2;2; ; ; ; ; ; ; ; ;2;2; ;0
2022;      000313801;3;138;1;2;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000601501;6;15;1; ;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000602501;6;25;1; ;2;2; ; ; ; ; ; ; ;2;2;2;2;2
2022;      000603801;6;38;1;2;2;2; ; ; ; ; ; ; ; ;2;2; ;1
2022;      000606201;6;62;1; ;2;2; ; ; ; ; ; ; ;2;2;2; ;0
2022;      000611901;6;119;1;2;2;2; ; ; ; ; ; ; ; ;2;2;2;1
2022;      000615801;6;158;1;2;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000617601;6;176;1;2;2;2; ; ; ; ; ; ; ; ;2;2;2;4
2022;      000618001;6;180;1;2;2;2; ; ; ; ; ; ; ; ;2;2; ;0
2022;      000700801;7;8;1; ;2;2; ; ; ; ; ; ; ; ;2;2; ;0
2022;      000701001;7;10;1; ;2;2; ; ; ; ; ; ; ; ;2;2; ;2
2022;      000701901;7;19;1; ;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000703401;7;34;1; ;2;2; ; ; ; ; ; ; ; ;2;2; ;0
2022;      000704801;7;48;1; ;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000705201;7;52;1; ;2;2; ; ; ; ; ; ; ; ;2;2; ;2
2022;      000705401;7;54;1; ;2;2; ; ; ; ; ; ; ; ;2;1; ;0
2022;      000705701;7;57;1; ;2;2; ; ; ; ; ; ; ; ;1;2;1;2
2022;      000707801;7;78;1; ;2;2; ; ; ; ; ; ; ; ;1;2;2;2
2022;      000708801;7;88;1;2;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000804501;8;45;1;2;2;2; ; ; ; ; ; ; ; ;2;2;2;2
2022;      000805601;8;56;1;2;2;1;3;5;4;2; ; ; ;2;2;2;2;3
2022;      000806201;8;62;1;2;2;2; ; ; ; ; ; ; ; ;2;2; ;0
2022;      000811301;8;113;1; ;2;2; ; ; ; ; ; ; ;2;2;2; ;0
