ID1,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M,HHID
2023,1,2,61,7,2020, ,      000102801
2023,1,2,43,2,2021,4,      000811301
2023,2,2,21,10,2022,4,      000811301
2023,1,2,65,1,2022, ,      000816001
2023,1,2,37,8,2020,4,      001802301
2023,1,2,9,12,2019, ,      002201301
2023,1,2,60,8,2020, ,      002202101
2023,1,2,0,11,2021, ,      003305101
2023,1,1,50,6,2019, ,      004001301
2023,1,1,69,11,2021, ,      004212401
2023,1,2,82,8,2022, ,      004212701
2023,1,2,76,7,2022, ,      005103001
2023,1,1,89,9,2019, ,      005103501
2023,1,1,81,9,2019, ,      005301901
2023,1,1,62,9,2020, ,      005306401
2023,1,1,82,11,2022, ,      005712701
2023,1,1,86,12,2020, ,      006101301
2023,1,1,87,5,2021, ,      006603401
2023,1,1,69,3,2018, ,      006608801
2023,1,2,49,4,2023,4,      006608901
2023,1,1,70,8,2020, ,      006702701
2023,1,1,84,7,2022, ,      006709901
2023,1,1,70,4,2022, ,      006809101
2023,1,2,36,2,2019,4,      006907001
2023,2,1,49,1,2021, ,      006907001
2023,1,2,80,2,2022, ,      006909001
2023,1,2,45,3,2018,4,      007206801
2023,1,1,43,10,2019, ,      008713001
2023,1,2,65,5,2020, ,      008802201
2023,1,2,80,3,2022, ,      009110901
2023,2,1,87,9,2022, ,      009110901
2023,1,2,72,3,2019, ,      010007901
2023,1,2,87,1,2022, ,      010310801
2023,1,1,65,1,2018, ,      010604501
2023,1,1,49,10,2019, ,      012601501
2023,2,2,57,8,2022, ,      012601501
2023,1,1,73,4,2022, ,      014202101
2023,1,2,68,8,2021, ,      014213901
2023,2,2,38,9,2022,4,      014213901
2023,1,2,88,1,2022, ,      014707701
2023,1,1,0,7,2022, ,      015200601
2023,1,1,15,1,2023, ,      015206201
2023,1,1,64,5,2022, ,      015706001
2023,1,1,92,4,2022, ,      015711501
2023,2,2,93,5,2022, ,      015711501
2023,1,1,42,9,2021, ,      016310201
2023,1,2,62,10,2022, ,      016313601
2023,1,1,36,6,2018, ,      016607801
2023,1,1,46,4,2021, ,      016900401
2023,2,1,73,5,2022, ,      016900401
2023,1,1,75,5,2019, ,      017108101
2023,1,1,86,3,2021, ,      018306601
2023,2,1,59,3,2022, ,      018306601
2023,1,2,85,4,2018, ,      018409101
2023,1,1,78,10,2022, ,      018611201
2023,1,1,60,5,2019, ,      018902101
2023,1,2,68,2,2021, ,      018913401
2023,2,2,52,3,2022, ,      018913401
2023,1,2,93,2,2023, ,      020009301
2023,1,1,38,10,2019, ,      020013001
2023,1,2,82,6,2022, ,      020017601
2023,1,1,54,6,2020, ,      021503501
2023,1,1,72,7,2021, ,      022005001
2023,1,2,67,8,2022, ,      022006001
2023,1,1,2,5,2022, ,      022105901
2023,1,2,60,7,2019, ,      022904201
2023,1,1,44,1,2021, ,      022923501
2023,1,2,24,2,2023,4,      023707201
2023,1,1,26,2,2018, ,      024404801
2023,1,1,32,12,2020, ,      024508401
2023,2,1,60,1,2021, ,      024508401
2023,1,2,104,1,2023, ,      025312901
2023,1,1,84,11,2021, ,      025805601
2023,1,1,23,1,2018, ,      026901001
2023,2,1,22,3,2019, ,      026901001
2023,1,1,80,2,2021, ,      026901101
2023,1,1,44,11,2018, ,      027005201
2023,1,1,0,4,2019, ,      027009101
2023,1,2,83,9,2018, ,      027907101
2023,1,1,56,4,2023, ,      028007301
2023,1,2,60,1,2019, ,      028101701
2023,1,1,14,3,2019, ,      028102101
2023,1,1,80,8,2019, ,      029304601
2023,1,1,85,1,2022, ,      030316501
2023,1,2,28,11,2018,4,      030611701
2023,1,1,66,10,2022, ,      031116601
2023,1,2,46,11,2021,4,      031707401
2023,1,1,26,8,2022, ,      031803801
2023,1,2,55,8,2019, ,      032208001
2023,1,1,82,11,2020, ,      032208401
2023,1,1,82,11,2018, ,      032304801
2023,1,1,81,8,2021, ,      032403401
2023,1,1,34,9,2020, ,      033706101
2023,1,2,49,11,2022,4,      034509701
2023,1,2,93,7,2022, ,      034608201
2023,1,1,82,12,2019, ,      035409301
2023,1,2,58,2,2021, ,      035409701
2023,1,1,21,10,2019, ,      035606401
2023,1,1,55,12,2020, ,      035608301
2023,1,2,89,10,2022, ,      036607001
2023,1,2,59,3,2022, ,      037102401
2023,1,2,98,10,2020, ,      037314101
2023,1,2,27,10,2021,4,      038001001
2023,1,2,66,2,2019, ,      039315201
2023,1,1,72,5,2021, ,      039507401
2023,1,2,57,2,2019, ,      039509901
2023,1,1,75,9,2022, ,      039903301
2023,1,2,88,9,2022, ,      040916101
2023,1,1,6,2,2021, ,      040916901
2023,1,1,60,3,2020, ,      041101901
2023,1,1,79,5,2019, ,      041102301
2023,2,1,8,9,2020, ,      041102301
2023,1,2,71,6,2022, ,      041106501
2023,1,2,99,11,2020, ,      041315301
2023,1,1,77,4,2023, ,      042405701
2023,1,1,29,2,2020, ,      042709901
2023,1,2,43,9,2019,4,      044101501
2023,1,1,39,11,2019, ,      044404701
2023,1,1,63,6,2023, ,      044804001
2023,1,2,44,12,2019,4,      044804401
2023,1,2,24,11,2019,4,      044808001
2023,2,1,54,5,2021, ,      044808001
