ID1,CASEID,IDX94,S410B,S411B,S411F,S411G,S411H,S411I,S411J,S411K,S411L,S411BA,S411CA,S411DA,S411EA,S413,S422I,S426B,S426E,S426FA,S426FB,S426GA,S426GB,S426GC,S426GD,S426GE,S430C,S430D,S431A,S425A,S432,S432AD,S432AM,S432AY,S427DA,S427DB,S427DC,S427DD,S427DE,S427DF,S427DG,S427F,S435,S436C,S440,S441,S442,S446AA,S446AB,S446A,S447,S448A,S448B,QI411_M,QI411F,QI422A_A,QI422A_B,QI422A_C,QI422A_D,QI440B
2023,      000100601  2,1, , , , , , , , , , , , , ,0, ,25, , , ,0,0,0,0,0,1,1, , ,0, , , ,0,0,0,0,0,0,0, , ,0,7,0, , , , ,1, , , , ,2, , , ,2
2023,      000102201  2,1,9,1,1,8,1,1,0,1,1,3,3, ,3,1,0, , , ,100,1,0,0,0,0,1,1,0, ,1, , , ,0,0,0,1,0,0,0,1, ,1,7,1,25, , , ,1, , ,1,3,1,2, , ,1
2023,      000102801  1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,14,0, ,100,0,0,0,0,0,1,1,8, ,0, , , ,0,0,0,0,1,0,0,1, ,0,7,1,22, , , ,1, , ,1,1,1,2, , ,2
2023,      000106501  2,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0, , , ,100,1,0,0,1,0,1,1,1, ,1, , , ,0,0,0,0,0,0,0, , ,1,7,1,25, , , ,1, , ,1,1,1,2, , , 
2023,      000108001  1,1,8,1,1,0,0,1,0,0,0,5,5, , ,1,0,14, , ,101,0,0,0,0,0,2, ,1, ,0, , , ,0,0,0,1,0,0,1,0, ,0,12,0, , , , ,0, , ,2, ,1,1,1,1,1
2023,      000108801  6,1,9,1,1,1,1,1,1,1,1,4,4,4,4,1,0,14,1, , ,0,0,0,0,0,1,1,1, ,0, , , ,0,0,0,1,0,1,0,1, ,0,12,1,25, , , ,1, , ,1,4,1,2, , , 
2023,      000108801  9,1,9,1,1,1,1,1,1,0,0,6,6,6,6,0,0,14, , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,1,1,1,1,0,0, ,1, ,0, , , , ,1, , ,1,6,1,2, , ,2
2023,      000603301  2,1,9,1,1,1,1,1,1,1,1,4,4,4,4,1,0,20, , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,1,1,0,0,0, ,0,1,1,24, , , ,1, , ,1,98,1,2, , , 
2023,      000604201  2,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1,9,1,24, , , ,1, , ,1,1,1,2, , ,1
2023,      000609201  1,1,8,1,1,0,0,1,1,0,0,3,6, , ,1, , , , ,101,0,0,0,0,0,1,1,0, ,1, , , ,0,0,1,0,0,0,0,1, ,1,9,0, , , , ,0, , ,8, ,1,2, , ,2
2023,      000612301  1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,14,0, ,100,0,0,0,0,0,1,1,1, ,0, , , ,0,0,0,0,0,0,0, , ,0,9,1,22, , , ,1, , ,1,1,1,2, , , 
2023,      000613701  3,1,3,0,0,1,1,1,1,1,1,1,1,1,1,1, ,14,0, ,100,0,0,0,0,0,1,1,1, ,0, , , ,0,0,0,0,0,0,0, , ,0,12,0, , , , ,1, , ,1,1,2, , , , 
2023,      000703301  1,1,8,1,1,1,1,1,1,1,1,3,3,3,3,1,0, , , ,100,0,0,0,0,0,1,1,0, ,1, , , ,0,0,0,0,0,0,0, , ,1,8,1,21, , , ,1, , ,1,3,1,2, , , 
2023,      000705001  1,1,9,1,1,1,1,1,1,0,1,2,3,3,3,1,2, , , ,100,0,0,0,0,0,2, ,8, ,1, , , ,0,0,0,1,0,1,1,0, ,1,9,0, , , , ,1, , ,1,4,1,1,1,2,2
2023,      000706801  6,1,9,1,1,1,1,1,0,0,0,7,7,8,8,1,0, , , ,100,1,1,0,1,0,1,1,0, ,1, , , ,1,1,0,1,1,1,0,1, ,1,1,0, , , , ,1, , ,1,8,1,2, , , 
2023,      000707801  2,1,9,1,1,1,1,1,1,0,1,4,4,4,4,1,0, ,0, ,100,0,0,0,0,0,2, ,1, ,1, , , ,0,0,0,0,0,0,0, , ,1, ,1,25, , , ,0, , ,1,4,1,1,1,1, 
2023,      000707801  2,2, , , , , , , , , , , , , , , , ,0, ,101, , , , , ,2, , , ,1, , , , , , , , , , , , ,0,10,0, , , , ,1, , , , , , , , ,1
2023,      000711301  2,1,9,1,1,1,1,1,1,1,1,2,2,2,2,1,0, ,0, ,100,0,0,0,1,0,1,1,0, ,1, , , ,0,0,0,1,0,0,0,0, ,0,12,1,25, , , ,1, , ,2, ,1,1,1,2, 
