ID1,QHCLUSTER,QHNUMBER,QHHOME,PS92_1A,PS92_1M,PS92_1S,PS1,HVIDX,HHID
2023,472,117,1,2,0,2,1,4,      047211701
2023,695,3,1,0,3,2,1,4,      069500301
2023,954,106,1,2,0,2,1,3,      095410601
2023,1077,105,1,2,0,2,1,4,      107710501
2023,1159,3,1,3,0,2,1,2,      115900301
2023,1342,121,1,0,2,2,1,3,      134212101
2023,1377,58,1,1,5,2,1,4,      137705801
2023,2116,60,1,0,5,2,1,4,      211606001
2023,2608,115,1,0,1,2,1,3,      260811501
2023,2707,26,1,3,11,2,1,3,      270702601
2023,3480,58,1,2,0,2,1,3,      348005801
2023,3731,38,1,0,1,2,1,2,      373103801
2023,3740,54,1,4,3,2,1,4,      374005401
2023,3800,101,1,3,9,2,1,2,      380010101
2023,3892,2,1,2,0,2,1,4,      389200201
2023,3976,8,1,3,0,2,1,2,      397600801
2023,4087,42,1,4,1,2,1,5,      408704201
2023,4120,1,1,5,0,2,1,2,      412000101
2023,4241,53,1,1,0,2,1,9,      424105301
2023,4252,17,1,1,5,2,1,3,      425201701
2023,4356,91,1,1,0,2,1,4,      435609101
2023,4389,11,1,5,0,2,1,2,      438901101
2023,4415,42,1,2,0,2,1,3,      441504201
2023,4429,60,1,1,0,2,1,6,      442906001
2023,4492,54,1,0,4,2,1,3,      449205401
2023,4630,72,1,1,0,2,1,3,      463007201
2023,4647,109,1,2,4,2,1,2,      464710901
2023,4786,8,1,2,3,2,1,2,      478600801
2023,4788,56,1,2,1,2,1,3,      478805601
2023,4931,118,1,5,0,2,1,6,      493111801
2023,5006,101,1,1,5,2,1,4,      500610101
2023,5182,44,1,2,6,2,1,5,      518204401
2023,5257,22,1,4,11,2,1,5,      525702201
2023,5296,55,1,0,2,2,1,5,      529605501
2023,5323,26,1,1,6,2,1,3,      532302601
2023,5361,1,1,3,5,2,1,4,      536100101
