ID1,QHCLUSTER,QHNUMBER,QHHOME,PS100_1A,PS100_1M,PS100_1S,PS3,HVIDX,HHID
2023,22,3,1,5,0,2,1,1,      002200301
2023,23,47,1,5,0,2,1,2,      002304701
2023,31,228,1,7,3,2,1,1,      003122801
2023,38,1,1,98,98,2,1,4,      003800101
2023,38,5,1,1,5,2,1,1,      003800501
2023,38,128,1,8,2,1,1,1,      003812801
2023,38,128,1,6,2,2,2,2,      003812801
2023,42,113,1,1,2,2,1,1,      004211301
2023,45,2,1,0,2,2,1,1,      004500201
2023,51,25,1,4,5,2,1,1,      005102501
2023,51,29,1,2,4,2,1,1,      005102901
2023,53,16,1,5,0,2,1,2,      005301601
2023,57,53,1,8,2,2,1,1,      005705301
2023,57,128,1,3,1,2,1,6,      005712801
2023,88,72,1,0,6,2,1,5,      008807201
2023,91,8,1,6,0,2,1,1,      009100801
2023,96,56,1,8,1,2,1,1,      009605601
2023,96,57,1,0,5,2,1,2,      009605701
2023,100,13,1,0,4,2,1,1,      010001301
2023,100,81,1,1,2,1,1,1,      010008101
2023,100,81,1,2,2,2,2,2,      010008101
2023,100,106,1,3,2,2,1,1,      010010601
2023,100,108,1,6,2,2,1,1,      010010801
2023,100,109,1,5,0,2,1,5,      010010901
2023,103,4,1,98,98,2,1,1,      010300401
2023,103,5,1,4,0,1,1,1,      010300501
2023,103,5,1,0,2,2,2,2,      010300501
2023,103,88,1,5,0,2,1,2,      010308801
2023,103,106,1,8,0,2,1,2,      010310601
2023,103,107,1,4,0,2,1,5,      010310701
2023,103,110,1,0,2,1,1,1,      010311001
2023,103,110,1,1,0,2,2,2,      010311001
2023,104,114,1,2,4,2,1,4,      010411401
2023,104,134,1,4,5,1,1,1,      010413401
2023,104,134,1,4,5,2,2,2,      010413401
2023,106,3,1,6,0,2,1,1,      010600301
2023,106,4,1,8,0,1,1,1,      010600401
2023,106,4,1,7,0,2,2,2,      010600401
2023,106,7,1,5,98,1,1,1,      010600701
2023,106,7,1,3,98,2,2,2,      010600701
2023,106,45,1,4,0,2,1,1,      010604501
2023,106,52,1,6,98,2,1,1,      010605201
2023,110,8,1,6,0,2,1,6,      011000801
2023,110,15,1,8,0,2,1,6,      011001501
2023,110,102,1,4,6,2,1,1,      011010201
2023,112,7,1,8,98,2,1,1,      011200701
2023,131,27,1,8,0,2,1,1,      013102701
2023,142,21,1,4,2,2,1,1,      014202101
2023,142,136,1,0,1,2,1,1,      014213601
2023,143,25,1,2,0,1,1,1,      014302501
2023,143,25,1,0,6,2,2,2,      014302501
2023,144,146,1,3,0,2,1,1,      014414601
2023,146,22,1,2,0,2,1,1,      014602201
2023,146,115,1,8,0,2,1,5,      014611501
2023,147,78,1,8,0,2,1,1,      014707801
2023,152,20,1,4,0,2,1,6,      015202001
2023,152,23,1,5,0,2,1,2,      015202301
2023,157,39,1,8,11,2,1,1,      015703901
2023,163,68,1,7,6,1,1,1,      016306801
2023,163,68,1,3,7,2,2,2,      016306801
2023,163,126,1,98,98,2,1,1,      016312601
2023,166,122,1,0,11,1,1,1,      016612201
2023,166,122,1,0,3,2,2,2,      016612201
2023,166,139,1,8,11,2,1,1,      016613901
2023,220,13,1,8,0,2,1,7,      022001301
2023,226,42,1,3,2,2,1,1,      022604201
2023,242,132,1,8,0,2,1,6,      024213201
2023,245,48,1,2,0,1,1,1,      024504801
2023,245,48,1,2,0,2,2,2,      024504801
2023,245,84,1,5,0,2,1,4,      024508401
2023,253,128,1,5,2,1,1,1,      025312801
2023,253,128,1,3,2,2,2,2,      025312801
2023,258,48,1,0,6,2,1,2,      025804801
2023,261,23,1,2,4,2,1,1,      026102301
2023,269,64,1,4,0,2,1,1,      026906401
2023,270,92,1,5,0,1,1,1,      027009201
2023,270,92,1,2,0,2,2,2,      027009201
2023,273,11,1,1,2,2,1,4,      027301101
2023,273,14,1,8,0,2,1,6,      027301401
2023,273,83,1,8,2,2,1,1,      027308301
2023,276,49,1,3,0,2,1,1,      027604901
2023,276,63,1,3,0,2,1,7,      027606301
2023,276,64,1,1,6,1,1,1,      027606401
2023,276,64,1,2,6,2,2,2,      027606401
2023,280,70,1,0,4,2,1,2,      028007001
2023,280,71,1,6,0,2,1,4,      028007101
2023,281,2,1,7,0,1,1,1,      028100201
2023,281,2,1,3,0,2,2,2,      028100201
2023,281,19,1,0,1,2,1,1,      028101901
2023,281,86,1,0,3,2,1,1,      028108601
2023,281,89,1,8,0,2,1,1,      028108901
2023,281,90,1,1,6,2,1,2,      028109001
2023,293,43,1,5,4,1,1,1,      029304301
2023,293,43,1,8,4,2,2,2,      029304301
2023,293,45,1,1,4,2,1,7,      029304501
2023,293,46,1,2,4,2,1,1,      029304601
2023,294,17,1,4,0,2,1,2,      029401701
2023,294,68,1,0,1,2,1,1,      029406801
2023,306,117,1,2,0,2,1,1,      030611701
2023,317,74,1,8,11,2,1,1,      031707401
2023,318,159,1,4,4,2,1,1,      031815901
2023,322,84,1,6,98,2,1,1,      032208401
2023,322,157,1,6,0,2,1,1,      032215701
2023,322,158,1,0,2,2,1,1,      032215801
2023,323,82,1,0,1,2,1,1,      032308201
2023,323,87,1,3,0,2,1,1,      032308701
2023,323,89,1,7,0,2,1,6,      032308901
2023,324,3,1,5,9,1,1,1,      032400301
2023,324,3,1,0,1,2,2,2,      032400301
2023,324,24,1,5,0,2,1,4,      032402401
2023,324,30,1,8,1,1,1,1,      032403001
2023,324,30,1,2,5,2,2,2,      032403001
2023,324,31,1,1,0,2,1,1,      032403101
2023,325,21,1,4,0,2,1,1,      032502101
2023,335,16,1,6,4,2,1,1,      033501601
2023,335,17,1,0,4,2,1,1,      033501701
2023,335,19,1,7,3,1,1,1,      033501901
2023,335,19,1,6,1,2,2,2,      033501901
2023,335,20,1,4,4,2,1,1,      033502001
2023,335,26,1,3,0,2,1,1,      033502601
2023,336,112,1,3,3,1,1,4,      033611201
2023,336,112,1,3,3,2,2,5,      033611201
2023,337,12,1,8,0,2,1,1,      033701201
2023,337,59,1,1,8,1,1,1,      033705901
2023,337,59,1,1,0,2,2,2,      033705901
2023,340,78,1,98,98,2,1,1,      034007801
2023,346,82,1,1,6,1,1,1,      034608201
2023,346,82,1,1,6,2,2,2,      034608201
2023,354,93,1,1,0,2,1,3,      035409301
2023,356,61,1,1,2,2,1,3,      035606101
2023,362,7,1,0,3,2,1,1,      036200701
2023,382,54,1,5,3,1,1,1,      038205401
2023,382,54,1,3,3,2,2,2,      038205401
2023,418,132,1,0,5,2,1,2,      041813201
2023,422,104,1,2,2,2,1,5,      042210401
2023,424,57,1,7,2,2,1,1,      042405701
2023,437,67,1,1,0,2,1,3,      043706701
2023,441,15,1,4,2,2,1,7,      044101501
2023,441,91,1,0,2,2,1,1,      044109101
2023,448,44,1,1,6,2,1,1,      044804401
2023,450,14,1,5,0,2,1,1,      045001401
2023,451,36,1,3,2,2,1,3,      045103601
2023,451,37,1,6,1,2,1,6,      045103701
2023,451,45,1,1,2,2,1,1,      045104501
2023,457,65,1,8,0,1,1,1,      045706501
2023,457,65,1,0,1,2,2,2,      045706501
2023,458,23,1,5,1,2,1,6,      045802301
2023,458,66,1,6,0,2,1,2,      045806601
2023,458,68,1,3,0,2,1,1,      045806801
2023,458,110,1,5,2,2,1,1,      045811001
2023,480,13,1,98,98,2,1,1,      048001301
2023,482,32,1,3,0,2,1,1,      048203201
2023,483,43,1,4,4,1,1,1,      048304301
2023,483,43,1,4,4,2,2,2,      048304301
2023,483,50,1,98,98,2,1,1,      048305001
2023,483,51,1,98,4,1,1,1,      048305101
2023,483,51,1,98,4,2,2,2,      048305101
2023,483,53,1,3,4,2,1,1,      048305301
2023,483,54,1,5,0,2,1,6,      048305401
2023,490,73,1,0,6,2,1,2,      049007301
2023,493,18,1,0,9,2,1,2,      049301801
2023,493,20,1,5,4,1,1,1,      049302001
2023,493,20,1,4,4,2,2,2,      049302001
2023,493,80,1,3,2,2,1,1,      049308001
2023,494,81,1,7,0,2,1,1,      049408101
2023,501,7,1,3,0,1,1,1,      050100701
2023,501,7,1,0,2,2,2,2,      050100701
2023,501,9,1,6,0,2,1,1,      050100901
2023,501,14,1,7,5,2,1,3,      050101401
2023,502,15,1,8,11,1,1,1,      050201501
2023,502,15,1,8,11,2,2,2,      050201501
2023,502,18,1,3,5,2,1,2,      050201801
2023,502,73,1,2,5,2,1,1,      050207301
2023,503,82,1,1,0,2,1,1,      050308201
2023,503,120,1,3,0,2,1,1,      050312001
2023,508,37,1,8,1,2,1,1,      050803701
2023,515,3,1,5,0,2,1,1,      051500301
2023,515,5,1,8,0,1,1,1,      051500501
2023,515,5,1,8,0,2,2,2,      051500501
2023,515,11,1,2,0,2,1,1,      051501101
2023,515,13,1,2,0,2,1,1,      051501301
2023,515,14,1,3,6,1,1,1,      051501401
2023,515,14,1,2,6,2,2,2,      051501401
2023,515,71,1,98,98,1,1,1,      051507101
2023,515,71,1,98,98,2,2,3,      051507101
2023,515,72,1,5,6,2,1,5,      051507201
2023,515,73,1,2,6,2,1,1,      051507301
2023,515,75,1,1,0,1,1,1,      051507501
2023,515,75,1,1,0,2,2,2,      051507501
2023,516,69,1,1,0,2,1,1,      051606901
2023,516,108,1,0,3,2,1,2,      051610801
2023,518,10,1,1,2,1,1,1,      051801001
2023,518,10,1,2,2,2,2,2,      051801001
2023,518,94,1,0,2,1,1,1,      051809401
2023,518,94,1,4,2,2,2,3,      051809401
2023,536,32,1,4,3,2,1,4,      053603201
2023,545,72,1,8,0,2,1,1,      054507201
2023,545,179,1,7,0,2,1,6,      054517901
2023,550,80,1,5,3,2,1,1,      055008001
2023,550,135,1,8,4,2,1,7,      055013501
2023,553,14,1,0,4,2,1,1,      055301401
2023,554,25,1,5,2,2,1,3,      055402501
2023,557,109,1,4,0,1,1,1,      055710901
2023,557,109,1,0,2,2,2,2,      055710901
2023,558,120,1,5,5,2,1,5,      055812001
2023,565,122,1,1,6,2,1,1,      056512201
2023,568,25,1,3,4,2,1,2,      056802501
2023,573,145,1,5,2,2,1,1,      057314501
2023,592,51,1,5,0,2,1,1,      059205101
2023,600,80,1,7,0,2,1,1,      060008001
2023,601,57,1,6,3,2,1,1,      060105701
2023,655,60,1,1,5,2,1,1,      065506001
2023,693,1,1,0,4,2,1,3,      069300101
2023,693,2,1,0,5,2,1,2,      069300201
2023,693,7,1,1,0,2,1,1,      069300701
2023,693,10,1,5,6,2,1,1,      069301001
2023,693,64,1,6,1,2,1,2,      069306401
2023,693,66,1,8,0,2,1,1,      069306601
2023,693,67,1,3,0,2,1,1,      069306701
2023,695,2,1,0,3,2,1,2,      069500201
2023,695,108,1,8,0,2,1,5,      069510801
2023,734,7,1,1,0,1,1,1,      073400701
2023,734,7,1,4,0,2,2,2,      073400701
2023,736,86,1,1,0,2,1,2,      073608601
2023,736,98,1,8,0,2,1,5,      073609801
2023,747,75,1,0,3,2,1,2,      074707501
2023,750,79,1,7,0,2,1,4,      075007901
2023,754,140,1,2,0,2,1,5,      075414001
2023,756,35,1,8,0,1,1,1,      075603501
2023,756,35,1,3,0,2,2,2,      075603501
2023,756,36,1,1,0,2,1,2,      075603601
2023,756,77,1,6,0,2,1,1,      075607701
2023,790,66,1,6,0,2,1,1,      079006601
2023,800,33,1,6,0,2,1,9,      080003301
2023,812,112,1,0,1,2,1,1,      081211201
2023,814,17,1,1,2,2,1,1,      081401701
2023,814,44,1,2,0,1,1,1,      081404401
2023,814,44,1,2,0,2,2,2,      081404401
2023,880,38,1,7,2,2,1,2,      088003801
2023,885,54,1,3,4,2,1,4,      088505401
2023,974,93,1,3,2,2,1,1,      097409301
2023,976,138,1,7,1,1,1,1,      097613801
2023,976,138,1,7,1,2,2,2,      097613801
2023,1001,118,1,0,2,2,1,1,      100111801
2023,1010,163,1,6,2,2,1,1,      101016301
2023,1022,44,1,2,0,2,1,1,      102204401
2023,1025,32,1,5,0,2,1,1,      102503201
