ID1,QHCLUSTER,QHNUMBER,QHHOME,PS109_1R,PS109_1A,PS109_1M,PS109_1S,PS7,HVIDX,HHID
2023,6,33,1,1,1,1,2,1,3,      000603301
2023,6,41,1,2, , ,1,1,3,      000604101
2023,6,41,1,2, , ,2,2,4,      000604101
2023,6,42,1,1,0,1,2,1,3,      000604201
2023,6,92,1,2, , ,2,1,3,      000609201
2023,6,123,1,1,8,1,1,1,3,      000612301
2023,6,123,1,1,5,1,1,2,4,      000612301
2023,6,123,1,1,1,0,2,3,5,      000612301
2023,6,137,1,1,8,1,1,1,5,      000613701
2023,6,137,1,1,4,1,2,2,6,      000613701
2023,6,178,1,1,2,1,2,1,4,      000617801
2023,7,50,1,1,6,0,1,1,3,      000705001
2023,7,50,1,2, , ,2,2,4,      000705001
2023,7,68,1,1,4,0,2,1,8,      000706801
2023,7,78,1,1,4,0,2,1,6,      000707801
2023,7,92,1,2, , ,2,1,3,      000709201
2023,7,113,1,1,1,0,1,1,3,      000711301
2023,7,113,1,1,7,0,2,2,4,      000711301
2023,8,3,1,1,6,2,2,1,3,      000800301
2023,8,30,1,1,8,2,2,1,4,      000803001
2023,8,56,1,1,0,2,1,1,3,      000805601
2023,8,56,1,1,1,2,2,2,5,      000805601
2023,8,113,1,1,8,2,1,1,3,      000811301
2023,8,113,1,1,3,2,1,2,4,      000811301
2023,8,113,1,1,0,2,2,3,5,      000811301
2023,8,140,1,1,3,4,1,1,5,      000814001
2023,8,140,1,1,1,4,2,2,6,      000814001
2023,8,159,1,1,4,2,1,1,3,      000815901
2023,8,159,1,1,0,2,2,2,4,      000815901
2023,8,160,1,1,4,2,2,1,4,      000816001
2023,16,34,1,1,0,3,2,1,6,      001603401
2023,16,44,1,1,0,1,2,1,3,      001604401
2023,16,50,1,1,7,3,1,1,5,      001605001
2023,16,50,1,1,0,3,2,2,6,      001605001
2023,16,65,1,1,1,3,2,1,3,      001606501
2023,16,73,1,1,1,1,2,1,3,      001607301
2023,16,76,1,1,0,3,2,1,3,      001607601
2023,21,51,1,1,1,1,2,1,6,      002105101
2023,21,75,1,1,7,1,2,1,4,      002107501
2023,21,82,1,1,3,1,2,1,2,      002108201
2023,21,88,1,1,3,1,2,1,3,      002108801
2023,21,110,1,1,4,1,1,1,3,      002111001
2023,21,110,1,1,3,1,2,2,5,      002111001
2023,21,112,1,1,2,1,2,1,3,      002111201
2023,22,21,1,1,1,1,2,1,4,      002202101
2023,22,22,1,1,0,1,2,1,5,      002202201
2023,22,32,1,1,5,1,1,1,3,      002203201
