ID1,HHID,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2025,      434500401,1,1,68,10,2024, 
2025,      434617601,1,1,0,12,2021, 
2025,      434815701,1,2,91,5,2022, 
2025,      435310301,1,2,70,1,2021, 
2025,      435405101,1,1,33,10,2022, 
2025,      435412001,1,1,25,9,2021, 
2025,      435709801,1,1,53,4,2023, 
2025,      435710001,1,1,86,12,2021, 
2025,      435800501,1,2,31,3,2021,4
2025,      435804901,1,1,68,3,2022, 
2025,      435913701,1,1,0,5,2023, 
2025,      435913901,1,1,79,3,2022, 
2025,      436002001,1,2,78,5,2021, 
2025,      436103701,1,1,1,4,2024, 
2025,      436414501,1,1,68,2,2021, 
2025,      436613301,1,1,82,10,2020, 
2025,      436804801,1,1,56,12,2020, 
2025,      436805601,1,2,4,8,2022, 
2025,      437019601,1,1,63,1,2021, 
2025,      437106101,1,1,64,1,2023, 
2025,      437209601,1,1,66,3,2025, 
2025,      437310201,1,2,64,4,2023, 
2025,      437602401,1,2,54,3,2024, 
2025,      437606101,1,2,94,8,2021, 
2025,      437902301,1,2,68,1,2022, 
2025,      437902301,2,1,80,2,2025, 
2025,      438101301,1,2,94,4,2020, 
2025,      438403901,1,1,83,4,2021, 
2025,      438505801,1,1,67,5,2021, 
2025,      438608201,1,1,90,1,2022, 
2025,      438707501,1,1,42,3,2021, 
2025,      438807201,1,1,17,11,2020, 
2025,      439103301,1,1,63,5,2024, 
2025,      439108401,1,2,54,6,2025, 
2025,      439303701,1,1,80,4,2021, 
2025,      439400701,1,1,83,6,2020, 
2025,      439600701,1,1,87,11,2022, 
2025,      439603801,1,1,74,5,2020, 
2025,      439606001,1,1,108,11,2021, 
2025,      439704201,1,1,30,9,2023, 
2025,      440001401,1,1,85,4,2024, 
2025,      440003401,1,1,65,11,2023, 
2025,      440008101,1,2,47,3,2022,4
2025,      440504001,1,1,89,1,2024, 
2025,      441011101,1,2,79,7,2024, 
2025,      441102801,1,1,85,4,2020, 
2025,      441212601,1,2,47,5,2021,4
2025,      441305001,1,2,2,2,2022, 
2025,      441401101,1,1,70,10,2023, 
2025,      441407701,1,1,67,9,2024, 
2025,      441507001,1,2,65,8,2020, 
2025,      441614601,1,1,56,6,2021, 
2025,      441807001,1,2,79,7,2024, 
2025,      441808101,1,2,0,11,2021, 
2025,      442006701,1,2,85,8,2023, 
2025,      442101701,1,2,36,2,2021,4
2025,      442101901,1,2,26,12,2023,4
2025,      442301201,1,2,81,10,2024, 
2025,      442404701,1,1,59,2,2021, 
2025,      442606401,1,2,57,5,2024, 
2025,      442706201,1,1,62,4,2021, 
2025,      442803901,1,1,9,12,2024, 
2025,      443004501,1,1,95,5,2024, 
2025,      443106701,1,2,20,9,2021,4
2025,      443200101,1,1,79,10,2024, 
2025,      443604801,1,2,86,3,2024, 
2025,      443701401,1,1,56,8,2021, 
2025,      443704601,1,1,87,10,2024, 
2025,      443705201,1,1,56,2,2024, 
2025,      443800501,1,1,52,6,2024, 
2025,      443803001,1,2,90,10,2023, 
2025,      444102801,1,1,91,12,2023, 
2025,      445000301,1,1,79,2,2022, 
2025,      445102301,1,1,79,11,2020, 
2025,      445109501,1,1,34,7,2024, 
2025,      445411601,1,2,85,3,2021, 
2025,      445414501,1,2,58,1,2021, 
2025,      445511501,1,1,55,4,2025, 
2025,      445601401,1,2,64,6,2023, 
2025,      445607901,1,2,86,6,2020, 
2025,      445708201,1,1,62,8,2023, 
2025,      445910501,1,1,49,12,2024, 
2025,      446402201,1,1,76,2,2025, 
2025,      446402701,1,2,78,2,2020, 
2025,      446402701,2,1,79,2,2020, 
2025,      446712001,1,2,29,2,2021,4
2025,      446713201,1,1,65,8,2023, 
2025,      446713901,1,2,33,12,2024,4
2025,      446800901,1,1,75,7,2023, 
2025,      446804201,1,1,53,11,2022, 
2025,      446909801,1,2,63,9,2024, 
2025,      446912901,1,2,77,8,2021, 
2025,      446912901,2,1,46,8,2022, 
2025,      446913302,1,1,82,8,2021, 
2025,      447004301,1,1,60,6,2021, 
2025,      447309901,1,1,80,6,2024, 
2025,      447312301,1,1,58,5,2024, 
2025,      447312301,2,2,82,8,2024, 
2025,      447503101,1,1,64,5,2020, 
2025,      447607801,1,1,70,6,2020, 
2025,      448002901,1,2,54,2,2024, 
2025,      448304801,1,1,55,11,2024, 
2025,      448510501,1,1,61,8,2020, 
2025,      448708701,1,2,89,6,2024, 
2025,      448804501,1,1,64,7,2023, 
2025,      449000201,1,1,85,5,2024, 
2025,      449000201,2,2,80,8,2024, 
2025,      449103601,1,2,90,1,2022, 
2025,      449104501,1,1,70,4,2023, 
2025,      449104801,1,1,52,1,2023, 
2025,      449305801,1,2,75,7,2024, 
2025,      449907001,1,1,33,2,2021, 
2025,      450201101,1,1,84,11,2024, 
2025,      450502001,1,1,55,8,2020, 
2025,      450508901,1,2,13,2,2021,4
2025,      450701401,1,2,60,9,2024, 
2025,      450702301,1,1,87,12,2020, 
2025,      450702301,2,2,95,12,2024, 
2025,      450703601,1,2,70,5,2021, 
