ID1,caseid,QCOL93,Q1035NO,Q1036N,Q1037M,Q1037P,Q1037O,Q1040A,Q1040B,Q1040C,Q1040D,Q1040E,Q1040F,Q1040G,Q1040H,Q1040I,Q1040X
2025,      434400501  2,1,1,AB,AB,B, , , , , , , , , , , 
2025,      434401201  1,1,1,Y, , , , , , , , , , , , , 
2025,      434403101  1,1,2,A,BE, , ,1,1,1, , , , , ,2, 
2025,      434407401  2,1,5,AB,BK,BK, , , , , , , , , , , 
2025,      434407901  2,1,4,AB,B,B, , , , , , , , , , , 
2025,      434408101  1,1,1,A,BE, , , , , , , , , , , , 
2025,      434501401  1,1,6,AB,K,K, , , , , , , , , , , 
2025,      434503001  5,1,4,AB,AB,ABE, ,1,1,1,2, , , , , , 
2025,      434503801  2,1,1,A,K, , , , , , , , , , , , 
2025,      434509001  2,1,2,AB,AK,AK, , , , , , , , , , , 
2025,      434601401  2,1,2,AB,AK,ABK, ,1, , , , , , , , , 
2025,      434602401  2,1,8,AB,AB,BE, , , , , , , , , , , 
2025,      434602401  2,2,7,AB,AB,B, , , , , , , , , , , 
2025,      434604801  1,1,3,AB,ACK,AK, , , , , , , , , , , 
2025,      434606701  4,1,2,A,BK, , , , , , , , , , , , 
2025,      434609801  2,1,4,AB,AK,K, , , , , , , , , , , 
2025,      434611301  1,1,10,AB,B,ABE, , , , , , , , , , , 
2025,      434700401  2,1,1,AB,CEK,ACE, , ,1, , , , , , , , 
2025,      434702201  2,1,2,AB,BC,BE, , , , , , , , , , , 
2025,      434708101  3,1,2,A,K, , , , , , , , , ,2, , 
2025,      434708801  2,1,3,AB,BC,BC, ,2,2,2, , , , , , , 
2025,      434801601  2,1,2,AB,BC,BC, , , , , , , , , , , 
2025,      434806401  2,1,3,Y, , , , , , , , , , , , , 
2025,      434808001  4,1,1,A,B, , , , , , , , , , , , 
2025,      434810001  2,1,2,AB,B,B, , , , , , , , , , , 
2025,      434815601  1,1,2,AC,BC, ,BC, , , , , , , , , , 
2025,      434815701  3,1,1,AC,BC, ,BC, , , , , , , , , , 
2025,      434903001  2,1,2,AB,B,B, , , , , , , , , , , 
2025,      434903501  2,1,1,AB,ABE,AB, ,1,1,1, , , , , , , 
2025,      434908701  2,1,4,AB,ABE,ABE, ,1, , , , , , ,2, , 
2025,      434908701  2,2,3,AB,ABE,ABE, ,1, , , , , , ,2, , 
2025,      434909001  1,1,2,A,B, , ,2,2, , , , , , ,2, 
2025,      435001401  1,1,1,AB,B,B, , , , , , , , , , , 
2025,      435001501  2,1,3,AB,E,K, ,1, ,1, , , , ,2, , 
2025,      435003601  2,1,1,A,K, , , , , , , , , , , , 
2025,      435009301  2,1,2,AB,ABC,ABC, , , , , , , , , , , 
2025,      435102201  2,1,2,AB,B,B, , , , , , , , , , , 
2025,      435106101  2,1,3,AB,CK,CK, , , , , , , , , , , 
2025,      435106801  1,1,2,A,ABCK, , ,1, , , , , , ,2,2, 
2025,      435108001  2,1,2,AB,B,B, ,2, , , , , , , , , 
2025,      435112401  1,1,2,A,ABCEK, , ,2,2, , ,2, , , , , 
2025,      435112501  2,1,4,Y, , , ,2,2, , , , , , , , 
2025,      435214301  2,1,4,AB,BC,BC, , , , , , , , , , , 
