ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS92_1A,PS92_1M,PS92_1S,PS1
2025,      435110601,3,4351,106,1,4,0,2,1
2025,      438701601,6,4387,16,1,0,1,2,1
2025,      439600901,5,4396,9,1,1,0,2,1
2025,      439803501,3,4398,35,1,0,5,2,1
2025,      447102701,3,4471,27,1,1,7,2,1
2025,      456714001,3,4567,140,1,1,0,2,1
2025,      456904601,3,4569,46,1,0,2,2,1
2025,      463305701,3,4633,57,1,2,1,1,1
2025,      463305701,4,4633,57,1,6,0,2,2
2025,      468902801,3,4689,28,1,1,0,2,1
2025,      477400201,3,4774,2,1,0,2,2,1
2025,      477801301,3,4778,13,1,1,0,2,1
2025,      484101701,3,4841,17,1,0,7,2,1
2025,      489710301,3,4897,103,1,4,5,1,1
2025,      489710301,4,4897,103,1,1,5,2,2
2025,      502504201,3,5025,42,1,3,10,2,1
2025,      503009201,3,5030,92,1,3,10,2,1
2025,      505707501,4,5057,75,1,0,7,2,1
2025,      521103101,3,5211,31,1,0,6,2,1
2025,      534409801,3,5344,98,1,0,4,2,1
2025,      538004001,1,5380,40,1,1,9,2,1
2025,      543112401,6,5431,124,1,3,2,2,1
2025,      551608501,5,5516,85,1,2,2,2,1
2025,      555612401,4,5556,124,1,98,98,2,1
2025,      561402901,2,5614,29,1,0,3,2,1
2025,      567203101,3,5672,31,1,0,1,2,1
2025,      571101801,3,5711,18,1,5,1,2,1
2025,      573407901,6,5734,79,1,0,4,2,1
2025,      585900301,6,5859,3,1,1,4,2,1
2025,      586801101,3,5868,11,1,0,2,2,1
2025,      591705401,3,5917,54,1,1,5,2,1
2025,      596104501,4,5961,45,1,3,0,2,1
2025,      596302701,3,5963,27,1,0,4,2,1
2025,      597005901,3,5970,59,1,0,6,2,1
2025,      604803601,2,6048,36,1,1,0,2,1
2025,      615402401,3,6154,24,1,0,7,2,1
2025,      624303301,4,6243,33,1,0,7,2,1
2025,      628712201,5,6287,122,1,0,9,2,1
2025,      629602401,3,6296,24,1,0,9,2,1
2025,      630402501,2,6304,25,1,0,1,2,1
2025,      635203001,2,6352,30,1,3,0,2,1
2025,      635500101,2,6355,1,1,2,0,2,1
2025,      638905701,6,6389,57,1,0,8,2,1
2025,      641101901,2,6411,19,1,3,0,2,1
2025,      644002401,2,6440,24,1,0,5,2,1
2025,      652102201,3,6521,22,1,0,1,2,1
2025,      657904301,5,6579,43,1,0,5,2,1
2025,      663411301,2,6634,113,1,2,0,2,1
2025,      664804601,3,6648,46,1,1,3,2,1
2025,      665303801,2,6653,38,1,1,3,2,1
2025,      665901301,4,6659,13,1,0,2,2,1
2025,      666107401,3,6661,74,1,0,1,2,1
2025,      678718101,3,6787,181,1,1,0,2,1
2025,      683100901,1,6831,9,1,3,3,2,1
2025,      693607801,3,6936,78,1,0,8,2,1
2025,      695404501,7,6954,45,1,0,2,2,1
2025,      710105801,3,7101,58,1,1,8,2,1
2025,      712001301,2,7120,13,1,0,6,2,1
2025,      722107801,4,7221,78,1,0,1,2,1
2025,      722501601,3,7225,16,1,0,4,2,1
2025,      733906401,5,7339,64,1,4,8,2,1
2025,      737418101,4,7374,181,1,5,7,2,1
2025,      746904001,3,7469,40,1,1,8,2,1
