ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS104_1A,PS104_1M,PS104_1S,PS5
2025,      434602401,2,4346,24,1,14,2,2,1
2025,      434607001,1,4346,70,1,5,3,2,1
2025,      434607201,2,4346,72,1,2,2,2,1
2025,      437601801,1,4376,18,1,1,0,1,1
2025,      437601801,2,4376,18,1,1,0,2,2
2025,      437602301,2,4376,23,1,0,4,2,1
2025,      437602401,1,4376,24,1,1,0,2,1
2025,      437605801,1,4376,58,1,2,0,2,1
2025,      437606501,2,4376,65,1,0,4,2,1
2025,      437706401,2,4377,64,1,0,1,2,1
2025,      437815401,1,4378,154,1,9,1,2,1
2025,      437815701,1,4378,157,1,2,0,1,1
2025,      437815701,2,4378,157,1,2,0,1,2
2025,      437815701,3,4378,157,1,2,0,2,3
2025,      438000101,2,4380,1,1,4,0,2,1
2025,      438000201,2,4380,2,1,2,0,2,1
2025,      438000301,2,4380,3,1,10,0,2,1
2025,      438003601,1,4380,36,1,3,0,2,1
2025,      438003701,2,4380,37,1,13,0,2,1
2025,      438003901,2,4380,39,1,19,0,2,1
2025,      438004301,2,4380,43,1,10,0,2,1
2025,      438004401,1,4380,44,1,2,0,2,1
2025,      438500901,2,4385,9,1,10,98,2,1
2025,      439109601,2,4391,96,1,19,0,2,1
2025,      439305701,1,4393,57,1,10,7,2,1
2025,      439412201,2,4394,122,1,1,0,2,1
2025,      439412401,1,4394,124,1,5,4,2,1
2025,      439412601,1,4394,126,1,0,4,2,1
2025,      439501001,1,4395,10,1,1,3,2,1
2025,      439505101,1,4395,51,1,0,1,2,1
2025,      439600701,1,4396,7,1,0,11,2,1
2025,      439603901,1,4396,39,1,19,0,2,1
2025,      439605101,2,4396,51,1,10,3,2,1
2025,      439704201,1,4397,42,1,2,4,2,1
2025,      439704301,2,4397,43,1,0,1,2,1
2025,      439708601,2,4397,86,1,0,1,2,1
2025,      439712101,2,4397,121,1,3,0,2,1
2025,      439712201,1,4397,122,1,10,4,2,1
2025,      439712301,2,4397,123,1,2,4,2,1
2025,      439712501,3,4397,125,1,4,8,2,1
2025,      439801501,2,4398,15,1,3,5,2,1
2025,      439801901,1,4398,19,1,3,0,2,1
2025,      439807801,1,4398,78,1,1,0,2,1
2025,      440001301,2,4400,13,1,3,0,2,1
2025,      440008401,2,4400,84,1,1,2,2,1
2025,      440008501,1,4400,85,1,2,0,2,1
2025,      440204201,1,4402,42,1,1,3,2,1
2025,      441407401,1,4414,74,1,0,5,2,1
2025,      442006901,2,4420,69,1,0,5,2,1
2025,      443202101,1,4432,21,1,0,3,1,1
2025,      443202101,6,4432,21,1,5,6,2,2
2025,      443202301,2,4432,23,1,9,6,2,1
2025,      443408601,3,4434,86,1,1,1,2,1
2025,      443506301,2,4435,63,1,14,1,2,1
2025,      443508401,1,4435,84,1,12,0,2,1
2025,      443508601,1,4435,86,1,6,0,2,1
2025,      443509201,2,4435,92,1,1,0,2,1
2025,      443602901,1,4436,29,1,1,0,2,1
2025,      443704501,1,4437,45,1,1,5,2,1
2025,      443803601,1,4438,36,1,4,5,2,1
2025,      443906001,2,4439,60,1,2,2,2,1
2025,      444003301,1,4440,33,1,10,0,2,1
2025,      444004101,2,4440,41,1,3,0,2,1
2025,      444004401,1,4440,44,1,19,0,2,1
2025,      444004801,1,4440,48,1,1,0,2,1
2025,      444005301,2,4440,53,1,4,5,2,1
2025,      444104901,1,4441,49,1,2,0,2,1
2025,      444512601,2,4445,126,1,0,4,2,1
2025,      445000401,2,4450,4,1,2,6,2,1
2025,      445000501,2,4450,5,1,3,0,2,1
2025,      445000901,2,4450,9,1,4,8,2,1
2025,      445001101,2,4450,11,1,1,0,2,1
2025,      445001201,2,4450,12,1,2,0,2,1
2025,      445005401,2,4450,54,1,0,6,2,1
2025,      445005601,2,4450,56,1,7,0,2,1
2025,      445600801,2,4456,8,1,2,4,2,1
2025,      445601301,2,4456,13,1,2,3,2,1
2025,      445601501,1,4456,15,1,2,3,1,1
2025,      445601501,2,4456,15,1,1,8,2,2
2025,      445607701,1,4456,77,1,10,4,2,1
2025,      445607901,2,4456,79,1,0,6,2,1
2025,      445608101,4,4456,81,1,0,3,2,1
2025,      445609101,2,4456,91,1,0,4,2,1
2025,      445609701,1,4456,97,1,8,0,2,1
2025,      445609901,2,4456,99,1,10,4,2,1
2025,      446005501,2,4460,55,1,1,5,2,1
2025,      446018601,2,4460,186,1,1,5,2,1
2025,      446603301,1,4466,33,1,4,0,1,1
2025,      446603301,7,4466,33,1,2,0,2,2
2025,      447405701,1,4474,57,1,8,2,1,1
2025,      447405701,2,4474,57,1,8,2,2,2
2025,      449003601,1,4490,36,1,0,1,2,1
2025,      449104201,2,4491,42,1,3,4,2,1
2025,      449104301,1,4491,43,1,10,5,1,1
2025,      449104301,2,4491,43,1,10,5,2,2
2025,      449104401,1,4491,44,1,1,5,2,1
2025,      449104501,1,4491,45,1,1,6,1,1
2025,      449104501,3,4491,45,1,6,6,2,2
2025,      449203101,2,4492,31,1,4,3,2,1
2025,      449301501,1,4493,15,1,7,4,2,1
2025,      449301901,2,4493,19,1,0,4,2,1
2025,      449302001,2,4493,20,1,5,4,2,1
2025,      449302101,1,4493,21,1,19,4,2,1
2025,      449605701,1,4496,57,1,2,4,2,1
2025,      449800701,2,4498,7,1,1,0,2,1
2025,      450003201,1,4500,32,1,1,0,2,1
2025,      450106201,2,4501,62,1,1,0,2,1
2025,      450106301,1,4501,63,1,1,6,2,1
2025,      450200501,2,4502,5,1,1,4,2,1
2025,      450201101,2,4502,11,1,2,0,2,1
2025,      450202601,2,4502,26,1,0,5,2,1
2025,      450607101,2,4506,71,1,10,0,2,1
2025,      450607201,2,4506,72,1,3,0,2,1
2025,      450701401,1,4507,14,1,0,9,2,1
2025,      450701701,2,4507,17,1,0,6,2,1
2025,      450702001,1,4507,20,1,1,0,2,1
2025,      450702401,1,4507,24,1,1,0,2,1
2025,      450800401,2,4508,4,1,19,11,2,1
2025,      450803401,1,4508,34,1,19,11,2,1
2025,      450803801,1,4508,38,1,5,0,2,1
2025,      450804601,2,4508,46,1,10,0,2,1
2025,      450805901,2,4508,59,1,19,11,2,1
2025,      450900301,1,4509,3,1,8,0,2,1
2025,      450904101,2,4509,41,1,3,0,2,1
2025,      451109101,2,4511,91,1,6,0,2,1
2025,      451201101,2,4512,11,1,8,0,2,1
2025,      451201201,2,4512,12,1,0,6,2,1
2025,      451202101,2,4512,21,1,0,4,2,1
2025,      451211601,1,4512,116,1,15,4,2,1
2025,      451211801,2,4512,118,1,4,4,2,1
2025,      453200201,2,4532,2,1,5,3,2,1
2025,      454410801,2,4544,108,1,15,4,2,1
2025,      455007601,1,4550,76,1,0,5,2,1
2025,      455900601,1,4559,6,1,5,0,2,1
2025,      455914501,1,4559,145,1,1,1,2,1
2025,      457000601,1,4570,6,1,1,2,2,1
2025,      457006101,2,4570,61,1,1,0,2,1
2025,      458012301,1,4580,123,1,3,0,1,1
2025,      458012301,2,4580,123,1,3,0,1,2
2025,      458012301,3,4580,123,1,3,0,1,3
2025,      458012301,4,4580,123,1,3,0,1,4
2025,      458012301,5,4580,123,1,2,0,2,5
2025,      458409201,4,4584,92,1,0,2,2,1
2025,      458409701,2,4584,97,1,2,0,2,1
2025,      459012501,2,4590,125,1,0,6,2,1
2025,      459109001,1,4591,90,1,0,5,2,1
2025,      459109401,2,4591,94,1,1,0,2,1
2025,      459109501,1,4591,95,1,0,4,2,1
2025,      459203801,2,4592,38,1,2,0,2,1
2025,      459204101,2,4592,41,1,6,0,2,1
2025,      459204401,1,4592,44,1,4,0,1,1
2025,      459204401,3,4592,44,1,1,0,1,2
2025,      459204401,4,4592,44,1,1,0,1,3
2025,      459204401,5,4592,44,1,1,0,1,4
2025,      459204401,6,4592,44,1,1,0,2,5
2025,      459208701,1,4592,87,1,10,0,2,1
2025,      459208801,1,4592,88,1,5,0,2,1
2025,      459208901,1,4592,89,1,0,6,2,1
2025,      459906601,2,4599,66,1,2,0,2,1
2025,      461210301,2,4612,103,1,4,0,2,1
2025,      461406301,1,4614,63,1,1,1,1,1
2025,      461406301,4,4614,63,1,1,1,1,2
2025,      461406301,5,4614,63,1,1,1,2,3
2025,      466306801,1,4663,68,1,1,6,1,1
2025,      466306801,2,4663,68,1,1,6,1,2
2025,      466306801,3,4663,68,1,1,6,2,3
2025,      466309601,1,4663,96,1,1,0,2,1
2025,      468701801,1,4687,18,1,15,0,1,1
2025,      468701801,2,4687,18,1,15,0,1,2
2025,      468701801,3,4687,18,1,15,0,2,3
2025,      468702001,2,4687,20,1,5,0,2,1
2025,      470206401,1,4702,64,1,0,6,1,1
2025,      470206401,6,4702,64,1,0,6,1,2
2025,      470206401,8,4702,64,1,0,6,2,3
2025,      474907601,2,4749,76,1,3,7,2,1
2025,      474909701,1,4749,97,1,0,1,2,1
2025,      475104901,1,4751,49,1,8,3,2,1
2025,      475702301,2,4757,23,1,2,5,2,1
2025,      476006001,2,4760,60,1,1,6,2,1
2025,      476405001,7,4764,50,1,0,4,2,1
2025,      477210502,2,4772,105,2,4,5,2,1
2025,      477701101,1,4777,11,1,2,5,2,1
2025,      477702301,2,4777,23,1,2,0,2,1
2025,      477704401,1,4777,44,1,17,0,1,1
2025,      477704401,4,4777,44,1,3,0,2,2
2025,      480302301,2,4803,23,1,5,2,2,1
2025,      480302401,2,4803,24,1,15,1,2,1
2025,      480306501,2,4803,65,1,4,2,2,1
2025,      480306601,2,4803,66,1,15,1,2,1
2025,      480307901,1,4803,79,1,7,2,2,1
2025,      481008401,6,4810,84,1,0,1,2,1
2025,      481604501,2,4816,45,1,3,5,2,1
2025,      482204801,3,4822,48,1,0,2,2,1
2025,      486008901,1,4860,89,1,0,6,1,1
2025,      486008901,2,4860,89,1,0,6,1,2
2025,      486008901,3,4860,89,1,0,6,1,3
2025,      486008901,4,4860,89,1,0,6,1,4
2025,      486008901,5,4860,89,1,0,6,2,5
2025,      486009201,5,4860,92,1,5,6,2,1
2025,      486102001,1,4861,20,1,0,6,1,1
2025,      486102001,2,4861,20,1,0,6,1,2
2025,      486102001,3,4861,20,1,0,6,2,3
2025,      486104001,1,4861,40,1,3,0,1,1
2025,      486104001,2,4861,40,1,3,0,1,2
2025,      486104001,3,4861,40,1,3,0,1,3
2025,      486104001,4,4861,40,1,2,0,2,4
2025,      486119301,2,4861,193,1,1,4,2,1
2025,      486120701,1,4861,207,1,2,0,1,1
2025,      486120701,2,4861,207,1,2,0,1,2
2025,      486120701,3,4861,207,1,2,0,2,3
2025,      486300501,2,4863,5,1,2,0,2,1
2025,      486304401,2,4863,44,1,5,0,2,1
2025,      486408901,1,4864,89,1,1,5,1,1
2025,      486408901,2,4864,89,1,1,5,1,2
2025,      486408901,3,4864,89,1,1,5,1,3
2025,      486408901,4,4864,89,1,1,5,1,4
2025,      486408901,5,4864,89,1,1,5,2,5
2025,      486410001,1,4864,100,1,1,4,1,1
2025,      486410001,2,4864,100,1,1,4,1,2
2025,      486410001,3,4864,100,1,0,4,1,3
2025,      486410001,4,4864,100,1,1,4,1,4
2025,      486410001,5,4864,100,1,1,4,2,5
2025,      486502201,1,4865,22,1,2,0,2,1
2025,      486503801,1,4865,38,1,1,1,2,1
2025,      488609201,1,4886,92,1,0,4,2,1
2025,      489517501,2,4895,175,1,5,9,2,1
2025,      489812301,2,4898,123,1,1,0,2,1
2025,      489812401,2,4898,124,1,0,10,2,1
2025,      489812501,2,4898,125,1,0,6,2,1
2025,      489812601,2,4898,126,1,12,0,2,1
2025,      490003401,2,4900,34,1,3,11,2,1
2025,      491301701,2,4913,17,1,10,0,2,1
2025,      491311101,1,4913,111,1,4,0,2,1
2025,      491605701,2,4916,57,1,2,8,2,1
2025,      491810601,1,4918,106,1,19,0,2,1
2025,      491810801,1,4918,108,1,1,8,2,1
2025,      491811401,1,4918,114,1,19,0,1,1
2025,      491811401,2,4918,114,1,19,0,2,2
2025,      492013301,2,4920,133,1,5,2,2,1
2025,      492015001,1,4920,150,1,4,2,2,1
2025,      492806801,2,4928,68,1,0,3,2,1
2025,      492808301,1,4928,83,1,0,7,2,1
2025,      492811401,2,4928,114,1,3,7,2,1
2025,      493108701,1,4931,87,1,3,6,2,1
2025,      493111001,2,4931,110,1,0,6,2,1
2025,      493500401,2,4935,4,1,5,2,2,1
2025,      493502901,2,4935,29,1,10,2,2,1
2025,      493717201,2,4937,172,1,1,9,2,1
2025,      493717401,2,4937,174,1,5,11,2,1
2025,      493801401,1,4938,14,1,3,0,1,1
2025,      493801401,2,4938,14,1,0,3,2,2
2025,      493801601,1,4938,16,1,5,4,2,1
2025,      493806101,2,4938,61,1,1,6,2,1
2025,      493901201,1,4939,12,1,1,0,2,1
2025,      493904101,1,4939,41,1,3,0,2,1
2025,      493911901,1,4939,119,1,0,2,2,1
2025,      494017801,1,4940,178,1,2,0,2,1
2025,      496800701,1,4968,7,1,0,6,2,1
2025,      496802701,1,4968,27,1,3,9,2,1
2025,      497005101,2,4970,51,1,2,9,2,1
