ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS109_1R,PS109_1A,PS109_1M,PS109_1S,PS7
2025,      434402601,4,4344,26,1,1,0,2,2,1
2025,      434403101,3,4344,31,1,2, , ,2,1
2025,      434407401,6,4344,74,1,2, , ,2,1
2025,      434407901,3,4344,79,1,2, , ,1,1
2025,      434407901,4,4344,79,1,2, , ,2,2
2025,      434408101,2,4344,81,1,1,1,4,2,1
2025,      434501401,4,4345,14,1,1,6,2,1,1
2025,      434501401,5,4345,14,1,1,3,2,2,2
2025,      434503001,6,4345,30,1,1,4,2,1,1
2025,      434503001,7,4345,30,1,1,3,2,2,2
2025,      434505801,2,4345,58,1,1,3,2,2,1
2025,      434509001,3,4345,90,1,1,7,2,1,1
2025,      434509001,4,4345,90,1,1,2,2,2,2
2025,      434510601,3,4345,106,1,1,4,2,1,1
2025,      434510601,4,4345,106,1,1,0,2,2,2
2025,      434601401,3,4346,14,1,1,2,1,1,1
2025,      434601401,4,4346,14,1,1,0,1,2,2
2025,      434602401,4,4346,24,1,1,5,1,1,1
2025,      434602401,5,4346,24,1,1,1,1,2,2
2025,      434606701,5,4346,67,1,1,3,1,2,1
2025,      434607001,4,4346,70,1,1,8,1,1,1
2025,      434607001,5,4346,70,1,1,2,1,2,2
2025,      434609801,3,4346,98,1,1,7,1,1,1
2025,      434609801,4,4346,98,1,1,4,1,1,2
2025,      434609801,5,4346,98,1,1,1,1,2,3
2025,      434611301,4,4346,113,1,1,7,1,1,1
2025,      434611301,5,4346,113,1,1,3,1,1,2
2025,      434611301,6,4346,113,1,1,1,1,1,3
2025,      434611301,10,4346,113,1,1,1,1,2,4
2025,      434617001,4,4346,170,1,1,8,1,2,1
2025,      434617601,5,4346,176,1,1,6,1,1,1
2025,      434617601,6,4346,176,1,1,2,1,2,2
2025,      434702201,4,4347,22,1,1,1,1,2,1
2025,      434706601,2,4347,66,1,1,3,1,1,1
2025,      434706601,3,4347,66,1,1,0,1,2,2
2025,      434708801,5,4347,88,1,1,1,1,2,1
2025,      434713101,3,4347,131,1,1,5,1,2,1
2025,      434801601,3,4348,16,1,1,1,3,2,1
