ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS107_1A,PS107_1M,PS107_1S,PS6
2025,      435106101,5,4351,61,1,1,6,2,1
2025,      435112501,5,4351,125,1,0,11,2,1
2025,      435200501,4,4352,5,1,0,10,2,1
2025,      435804901,4,4358,49,1,1,9,2,1
2025,      436409101,5,4364,91,1,0,5,2,1
2025,      436502301,7,4365,23,1,1,6,2,1
2025,      436811101,6,4368,111,1,0,4,2,1
2025,      436905001,4,4369,50,1,0,2,2,1
2025,      437408201,7,4374,82,1,0,6,2,1
2025,      438403501,4,4384,35,1,0,5,2,1
2025,      438408101,6,4384,81,1,0,1,2,1
2025,      438505801,4,4385,58,1,0,1,2,1
2025,      438509501,4,4385,95,1,2,0,2,1
2025,      438509701,4,4385,97,1,0,3,2,1
2025,      438509901,3,4385,99,1,0,7,2,1
2025,      438601701,4,4386,17,1,0,1,2,1
2025,      438608201,4,4386,82,1,2,3,2,1
2025,      440810701,4,4408,107,1,1,3,2,1
2025,      441403601,3,4414,36,1,0,2,2,1
2025,      441500101,3,4415,1,1,0,4,2,1
2025,      441807601,4,4418,76,1,0,8,2,1
2025,      441906201,3,4419,62,1,0,4,2,1
2025,      442301301,4,4423,13,1,0,1,2,1
2025,      442305201,4,4423,52,1,1,5,2,1
2025,      442612101,4,4426,121,1,0,2,2,1
2025,      442909101,4,4429,91,1,0,1,2,1
2025,      443100401,6,4431,4,1,0,2,2,1
2025,      443408401,5,4434,84,1,0,2,1,1
2025,      443408401,6,4434,84,1,0,2,2,2
2025,      443805001,5,4438,50,1,1,5,2,1
2025,      444512601,7,4445,126,1,1,0,2,1
2025,      444603301,4,4446,33,1,1,9,2,1
2025,      444604601,4,4446,46,1,0,2,2,1
2025,      448804501,3,4488,45,1,1,2,2,1
2025,      448907201,5,4489,72,1,1,0,2,1
2025,      448907601,7,4489,76,1,0,6,2,1
2025,      448910001,3,4489,100,1,0,6,2,1
2025,      449606601,6,4496,66,1,0,6,2,1
2025,      449909101,3,4499,91,1,1,0,2,1
2025,      450400801,4,4504,8,1,0,2,2,1
2025,      450407801,4,4504,78,1,0,5,2,1
2025,      453510001,4,4535,100,1,1,5,2,1
2025,      454003701,7,4540,37,1,0,2,2,1
2025,      454200601,6,4542,6,1,0,2,2,1
2025,      454801501,5,4548,15,1,0,1,2,1
2025,      454803901,3,4548,39,1,0,5,2,1
2025,      455404801,4,4554,48,1,1,3,2,1
2025,      455405001,4,4554,50,1,0,9,2,1
2025,      455911201,8,4559,112,1,98,98,2,1
2025,      456105901,3,4561,59,1,0,2,2,1
2025,      456304201,5,4563,42,1,2,1,2,1
2025,      456305401,3,4563,54,1,1,9,2,1
2025,      456415201,3,4564,152,1,2,6,2,1
2025,      456901501,3,4569,15,1,0,2,2,1
2025,      457405301,3,4574,53,1,0,6,2,1
2025,      459804901,4,4598,49,1,0,7,2,1
2025,      462702801,4,4627,28,1,2,4,2,1
2025,      466502701,4,4665,27,1,0,7,2,1
2025,      467102201,7,4671,22,1,0,3,2,1
2025,      467104501,7,4671,45,1,0,3,2,1
2025,      467604401,9,4676,44,1,0,4,2,1
2025,      468111301,3,4681,113,1,0,7,2,1
2025,      469205901,5,4692,59,1,1,3,2,1
2025,      469503801,2,4695,38,1,0,5,2,1
2025,      469505301,5,4695,53,1,0,1,2,1
2025,      469800201,2,4698,2,1,0,1,2,1
2025,      471105601,3,4711,56,1,1,6,2,1
2025,      473306301,7,4733,63,1,1,7,2,1
2025,      473701701,5,4737,17,1,0,6,2,1
2025,      473710301,3,4737,103,1,1,7,2,1
2025,      473809101,3,4738,91,1,1,4,2,1
2025,      473909701,4,4739,97,1,0,4,2,1
2025,      474009901,7,4740,99,1,1,3,2,1
2025,      474301501,5,4743,15,1,0,1,2,1
2025,      474405301,2,4744,53,1,0,5,2,1
2025,      474801601,3,4748,16,1,0,1,2,1
2025,      474902901,3,4749,29,1,0,2,2,1
2025,      475000501,4,4750,5,1,1,3,2,1
2025,      475404901,2,4754,49,1,1,0,2,1
2025,      475504401,3,4755,44,1,1,0,2,1
2025,      475512001,5,4755,120,1,0,6,2,1
2025,      475709701,5,4757,97,1,1,6,2,1
2025,      475801801,4,4758,18,1,0,1,2,1
2025,      475811601,3,4758,116,1,0,2,2,1
2025,      475910001,4,4759,100,1,0,2,2,1
2025,      476006001,4,4760,60,1,1,0,2,1
2025,      476106301,6,4761,63,1,1,6,2,1
2025,      476109701,5,4761,97,1,0,2,2,1
2025,      477700101,6,4777,1,1,1,7,2,1
2025,      477706801,5,4777,68,1,0,3,2,1
2025,      477801801,6,4778,18,1,1,2,2,1
2025,      477905001,4,4779,50,1,2,0,2,1
2025,      478004401,4,4780,44,1,0,6,2,1
2025,      478210501,3,4782,105,1,0,1,2,1
2025,      478706901,5,4787,69,1,0,4,2,1
2025,      479006201,4,4790,62,1,1,2,2,1
2025,      479603601,3,4796,36,1,0,1,2,1
2025,      479610001,4,4796,100,1,0,6,2,1
2025,      480005201,3,4800,52,1,1,3,2,1
2025,      482607601,4,4826,76,1,0,1,2,1
2025,      482813101,5,4828,131,1,1,7,2,1
2025,      483613801,4,4836,138,1,1,2,2,1
2025,      483701001,3,4837,10,1,2,3,2,1
2025,      483705001,5,4837,50,1,0,7,2,1
2025,      483800501,4,4838,5,1,0,5,2,1
2025,      484004401,4,4840,44,1,0,11,2,1
2025,      484201501,3,4842,15,1,0,9,2,1
2025,      484204401,4,4842,44,1,1,3,2,1
2025,      484303001,3,4843,30,1,2,4,2,1
2025,      484304001,3,4843,40,1,0,10,2,1
2025,      484304501,6,4843,45,1,0,1,2,1
2025,      484704001,4,4847,40,1,1,0,2,1
2025,      485307001,3,4853,70,1,0,7,2,1
2025,      485513301,6,4855,133,1,0,3,2,1
2025,      485800501,4,4858,5,1,0,1,2,1
2025,      485812201,4,4858,122,1,0,11,2,1
2025,      485813301,3,4858,133,1,1,0,2,1
2025,      486002001,2,4860,20,1,0,3,2,1
2025,      486006601,5,4860,66,1,0,1,2,1
2025,      486008501,3,4860,85,1,0,2,2,1
2025,      486111501,6,4861,115,1,0,1,2,1
2025,      486119301,3,4861,193,1,0,1,2,1
2025,      486302301,4,4863,23,1,0,6,2,1
2025,      486510501,7,4865,105,1,0,2,2,1
2025,      486615101,3,4866,151,1,1,2,2,1
2025,      486710001,5,4867,100,1,0,1,2,1
2025,      486804301,3,4868,43,1,0,3,2,1
2025,      488104301,3,4881,43,1,2,0,2,1
2025,      488107401,3,4881,74,1,0,9,2,1
2025,      488109201,5,4881,92,1,1,5,1,1
2025,      488109201,6,4881,92,1,1,5,2,2
2025,      489208001,3,4892,80,1,0,1,2,1
2025,      489211401,3,4892,114,1,0,5,2,1
2025,      489608601,3,4896,86,1,1,4,2,1
2025,      490608801,7,4906,88,1,0,2,2,1
2025,      490609001,7,4906,90,1,0,1,2,1
2025,      490707802,4,4907,78,2,0,8,2,1
2025,      491516701,5,4915,167,1,2,0,2,1
2025,      492304201,3,4923,42,1,0,1,2,1
2025,      492307101,5,4923,71,1,1,0,2,1
2025,      492410001,4,4924,100,1,0,4,2,1
2025,      492511001,3,4925,110,1,0,7,2,1
2025,      492704801,5,4927,48,1,1,6,2,1
2025,      493206801,5,4932,68,1,1,0,2,1
2025,      493208901,3,4932,89,1,0,7,2,1
2025,      493209401,2,4932,94,1,0,7,1,1
2025,      493209401,3,4932,94,1,0,7,2,2
2025,      493210501,4,4932,105,1,0,6,2,1
2025,      493211501,4,4932,115,1,0,6,2,1
2025,      493801601,2,4938,16,1,0,4,2,1
2025,      494207301,6,4942,73,1,1,11,2,1
2025,      495505201,4,4955,52,1,0,4,2,1
2025,      495505901,6,4955,59,1,2,7,2,1
2025,      495802801,2,4958,28,1,0,11,2,1
2025,      495806501,4,4958,65,1,0,6,2,1
2025,      496210201,4,4962,102,1,0,1,2,1
2025,      496305701,5,4963,57,1,1,3,2,1
2025,      496606001,3,4966,60,1,1,2,2,1
2025,      496702201,7,4967,22,1,1,6,2,1
2025,      496703701,3,4967,37,1,1,6,2,1
2025,      496705601,4,4967,56,1,1,3,2,1
2025,      497004801,5,4970,48,1,0,6,2,1
2025,      497006701,3,4970,67,1,0,11,2,1
2025,      497101901,4,4971,19,1,1,0,2,1
2025,      497102201,4,4971,22,1,1,10,2,1
2025,      497105601,4,4971,56,1,1,11,2,1
2025,      497106301,5,4971,63,1,1,10,2,1
2025,      497206501,6,4972,65,1,0,5,2,1
2025,      500507902,3,5005,79,2,0,9,2,1
2025,      502208101,3,5022,81,1,0,8,2,1
2025,      502807301,4,5028,73,1,0,5,2,1
2025,      503008601,2,5030,86,1,0,1,2,1
2025,      503307001,5,5033,70,1,2,6,2,1
2025,      504006301,5,5040,63,1,0,8,2,1
2025,      504206201,5,5042,62,1,1,0,2,1
2025,      504210501,4,5042,105,1,0,1,2,1
2025,      504302201,5,5043,22,1,0,1,2,1
2025,      504706801,3,5047,68,1,0,4,2,1
2025,      506109101,5,5061,91,1,0,5,2,1
2025,      506306201,4,5063,62,1,0,1,2,1
2025,      507802501,5,5078,25,1,1,0,2,1
2025,      508706901,4,5087,69,1,3,0,2,1
2025,      509405501,4,5094,55,1,1,10,2,1
2025,      510311601,2,5103,116,1,1,6,2,1
2025,      510311701,4,5103,117,1,2,0,2,1
2025,      510408601,4,5104,86,1,0,2,2,1
2025,      510503801,4,5105,38,1,1,11,2,1
2025,      510506501,6,5105,65,1,0,7,2,1
2025,      510615701,4,5106,157,1,1,11,2,1
2025,      510706101,4,5107,61,1,1,0,2,1
2025,      511004201,3,5110,42,1,0,4,2,1
2025,      511011701,7,5110,117,1,0,5,2,1
2025,      514304501,5,5143,45,1,0,4,2,1
2025,      514400301,3,5144,3,1,0,2,2,1
2025,      514704001,3,5147,40,1,0,1,2,1
2025,      514805801,6,5148,58,1,0,1,2,1
2025,      515414701,9,5154,147,1,2,1,2,1
2025,      515414901,4,5154,149,1,1,2,2,1
2025,      517708401,5,5177,84,1,1,11,2,1
2025,      520605601,3,5206,56,1,0,6,2,1
2025,      520710501,4,5207,105,1,1,8,2,1
2025,      520911701,5,5209,117,1,1,3,2,1
2025,      521702101,6,5217,21,1,0,4,2,1
2025,      521708501,3,5217,85,1,1,11,2,1
2025,      521709701,3,5217,97,1,0,4,2,1
2025,      523608501,7,5236,85,1,0,1,1,1
2025,      523608501,9,5236,85,1,0,1,2,2
2025,      523622001,3,5236,220,1,0,8,2,1
2025,      523902401,3,5239,24,1,0,7,2,1
2025,      524205001,6,5242,50,1,2,9,2,1
2025,      524206101,6,5242,61,1,1,10,2,1
2025,      524216001,4,5242,160,1,1,9,2,1
2025,      524311001,2,5243,110,1,0,6,2,1
2025,      524513601,4,5245,136,1,0,2,2,1
2025,      526302301,3,5263,23,1,0,5,2,1
2025,      527001401,4,5270,14,1,0,11,2,1
2025,      527205901,3,5272,59,1,0,2,2,1
2025,      527212401,4,5272,124,1,0,1,2,1
2025,      527511101,2,5275,111,1,0,8,2,1
2025,      527605801,6,5276,58,1,1,8,2,1
2025,      527710701,3,5277,107,1,0,1,2,1
2025,      527901501,3,5279,15,1,0,9,2,1
2025,      528008101,3,5280,81,1,0,1,2,1
2025,      528200601,4,5282,6,1,0,8,2,1
2025,      528209501,3,5282,95,1,1,9,2,1
2025,      528404201,3,5284,42,1,0,4,2,1
2025,      528507001,4,5285,70,1,0,7,2,1
2025,      528607001,3,5286,70,1,0,6,2,1
2025,      528704001,5,5287,40,1,0,1,2,1
2025,      528704901,4,5287,49,1,0,3,2,1
2025,      528706501,5,5287,65,1,0,10,2,1
2025,      529201001,4,5292,10,1,0,1,2,1
2025,      529300901,4,5293,9,1,0,1,2,1
2025,      529404901,3,5294,49,1,0,11,2,1
2025,      529408701,4,5294,87,1,1,0,2,1
2025,      529603901,4,5296,39,1,0,1,2,1
2025,      529804901,3,5298,49,1,1,10,1,1
2025,      529804901,4,5298,49,1,1,10,2,2
2025,      529808601,3,5298,86,1,1,10,2,1
2025,      530101001,3,5301,10,1,0,7,2,1
2025,      531410601,4,5314,106,1,1,9,2,1
2025,      533108701,2,5331,87,1,1,6,2,1
2025,      534703501,4,5347,35,1,1,0,2,1
2025,      535603301,4,5356,33,1,0,11,2,1
2025,      536713301,3,5367,133,1,0,3,2,1
2025,      537209501,3,5372,95,1,1,1,2,1
2025,      537611101,5,5376,111,1,0,1,2,1
2025,      537804701,3,5378,47,1,0,8,2,1
2025,      539012401,4,5390,124,1,1,11,2,1
2025,      539206701,5,5392,67,1,1,1,2,1
2025,      539301801,5,5393,18,1,1,11,2,1
2025,      539406902,3,5394,69,2,1,1,2,1
2025,      539511401,4,5395,114,1,0,7,2,1
2025,      539705801,2,5397,58,1,1,1,2,1
2025,      539906201,4,5399,62,1,0,11,2,1
2025,      540004401,4,5400,44,1,0,10,2,1
2025,      540004801,3,5400,48,1,0,2,2,1
2025,      540007701,3,5400,77,1,0,10,2,1
2025,      540009501,5,5400,95,1,1,8,2,1
2025,      540012901,3,5400,129,1,1,10,2,1
2025,      540016201,4,5400,162,1,1,8,2,1
2025,      540103701,5,5401,37,1,2,0,2,1
2025,      540205201,4,5402,52,1,1,5,2,1
2025,      540408601,9,5404,86,1,0,6,2,1
2025,      541205501,8,5412,55,1,1,9,2,1
2025,      543406101,3,5434,61,1,1,6,2,1
2025,      543602501,3,5436,25,1,0,1,2,1
2025,      545500701,5,5455,7,1,0,3,2,1
2025,      545507501,4,5455,75,1,0,1,2,1
2025,      546008301,3,5460,83,1,0,1,2,1
2025,      547208001,4,5472,80,1,1,3,2,1
2025,      547305401,5,5473,54,1,1,1,2,1
2025,      547313601,5,5473,136,1,0,7,1,1
2025,      547313601,6,5473,136,1,0,7,2,2
2025,      547400801,3,5474,8,1,0,4,2,1
2025,      547403901,3,5474,39,1,0,4,2,1
2025,      547410501,3,5474,105,1,0,5,2,1
2025,      547509401,3,5475,94,1,0,4,2,1
2025,      547510501,2,5475,105,1,1,3,2,1
2025,      547522201,4,5475,222,1,0,1,2,1
2025,      547522301,4,5475,223,1,0,6,2,1
2025,      547607401,6,5476,74,1,0,10,2,1
2025,      547805301,3,5478,53,1,2,0,2,1
2025,      547811801,5,5478,118,1,1,1,2,1
2025,      548000101,3,5480,1,1,2,3,2,1
2025,      548502901,4,5485,29,1,0,3,2,1
2025,      549413001,3,5494,130,1,0,2,2,1
2025,      550000601,4,5500,6,1,0,1,2,1
2025,      550504701,3,5505,47,1,1,6,2,1
2025,      550607801,5,5506,78,1,0,1,2,1
2025,      551101401,3,5511,14,1,0,9,2,1
2025,      551303401,5,5513,34,1,0,2,2,1
2025,      551306101,3,5513,61,1,0,1,2,1
2025,      551400901,4,5514,9,1,3,7,2,1
2025,      551609101,4,5516,91,1,1,0,2,1
2025,      552907001,4,5529,70,1,0,2,2,1
2025,      553205901,3,5532,59,1,1,0,2,1
2025,      553208401,6,5532,84,1,0,2,2,1
2025,      554909301,3,5549,93,1,0,1,1,1
2025,      554909301,4,5549,93,1,0,1,2,2
2025,      557111101,3,5571,111,1,0,4,2,1
2025,      557307201,4,5573,72,1,0,2,2,1
2025,      557508601,7,5575,86,1,0,1,2,1
2025,      557608001,4,5576,80,1,0,5,2,1
2025,      558010801,4,5580,108,1,0,2,2,1
2025,      558402401,4,5584,24,1,0,1,2,1
2025,      558701201,5,5587,12,1,1,0,2,1
2025,      558812101,4,5588,121,1,0,1,2,1
2025,      558812401,4,5588,124,1,1,6,2,1
2025,      558905601,5,5589,56,1,0,4,2,1
2025,      561205201,3,5612,52,1,0,8,2,1
2025,      562105901,3,5621,59,1,1,6,2,1
2025,      562610201,3,5626,102,1,0,3,2,1
2025,      562711001,3,5627,110,1,1,6,2,1
2025,      563602101,3,5636,21,1,0,2,2,1
2025,      563605401,3,5636,54,1,0,6,2,1
2025,      565008201,4,5650,82,1,2,1,2,1
2025,      565509901,3,5655,99,1,0,1,2,1
2025,      565821501,3,5658,215,1,1,0,2,1
2025,      565906801,4,5659,68,1,2,5,2,1
2025,      569500401,5,5695,4,1,0,11,2,1
2025,      569502801,2,5695,28,1,0,11,2,1
2025,      569505601,4,5695,56,1,1,10,2,1
2025,      569506101,4,5695,61,1,2,1,2,1
2025,      575801101,5,5758,11,1,1,5,2,1
2025,      576105801,6,5761,58,1,0,1,2,1
2025,      576507101,5,5765,71,1,0,1,2,1
2025,      576805501,4,5768,55,1,0,6,2,1
2025,      577907001,3,5779,70,1,0,4,2,1
2025,      578316201,5,5783,162,1,0,10,2,1
2025,      578412701,6,5784,127,1,1,6,2,1
2025,      578616101,11,5786,161,1,1,4,2,1
2025,      579211201,3,5792,112,1,1,6,2,1
2025,      580107301,5,5801,73,1,0,1,2,1
2025,      581403401,5,5814,34,1,1,1,2,1
2025,      581404901,3,5814,49,1,0,1,2,1
2025,      581705601,3,5817,56,1,0,4,2,1
2025,      581903901,2,5819,39,1,1,4,2,1
2025,      582212601,3,5822,126,1,0,6,2,1
2025,      582303101,3,5823,31,1,0,4,2,1
2025,      583501301,6,5835,13,1,1,2,2,1
2025,      583510701,4,5835,107,1,1,0,2,1
2025,      583608401,5,5836,84,1,2,11,2,1
2025,      583702001,4,5837,20,1,0,1,2,1
2025,      583801701,3,5838,17,1,0,1,2,1
2025,      584102201,4,5841,22,1,1,4,2,1
2025,      584103401,4,5841,34,1,0,6,2,1
2025,      584416801,5,5844,168,1,1,6,2,1
2025,      585405101,7,5854,51,1,0,1,2,1
2025,      585509401,2,5855,94,1,0,3,2,1
2025,      586513101,8,5865,131,1,1,4,2,1
2025,      587006801,4,5870,68,1,0,2,2,1
2025,      587703501,2,5877,35,1,0,8,2,1
2025,      587706301,2,5877,63,1,0,6,2,1
2025,      587900901,4,5879,9,1,1,3,2,1
2025,      589505201,5,5895,52,1,1,0,2,1
2025,      589505202,5,5895,52,2,0,8,2,1
2025,      589518601,3,5895,186,1,0,1,2,1
2025,      589610001,4,5896,100,1,0,1,2,1
2025,      590001401,3,5900,14,1,0,1,2,1
2025,      590013801,3,5900,138,1,0,2,2,1
2025,      590216101,6,5902,161,1,0,1,1,1
2025,      590216101,7,5902,161,1,0,1,2,2
2025,      590604101,4,5906,41,1,0,1,2,1
2025,      590609601,3,5906,96,1,0,2,2,1
2025,      590907301,3,5909,73,1,0,1,2,1
2025,      591304901,3,5913,49,1,0,1,2,1
2025,      591602201,5,5916,22,1,0,6,2,1
2025,      592300901,6,5923,9,1,0,8,2,1
2025,      592702001,3,5927,20,1,1,1,2,1
2025,      593201001,3,5932,10,1,0,1,2,1
2025,      593201901,3,5932,19,1,0,4,2,1
2025,      593202301,4,5932,23,1,0,6,2,1
2025,      593208601,7,5932,86,1,0,4,2,1
2025,      593309001,4,5933,90,1,0,1,2,1
2025,      593312301,5,5933,123,1,1,2,2,1
2025,      593402201,6,5934,22,1,0,5,2,1
2025,      593600501,5,5936,5,1,1,0,2,1
2025,      593603301,6,5936,33,1,0,11,1,1
2025,      593603301,10,5936,33,1,0,11,1,2
2025,      593603301,13,5936,33,1,1,3,2,3
2025,      593912201,3,5939,122,1,0,3,2,1
2025,      594003801,5,5940,38,1,0,11,2,1
2025,      594005901,5,5940,59,1,1,4,1,1
2025,      594005901,6,5940,59,1,1,4,2,2
2025,      594109601,6,5941,96,1,1,3,2,1
2025,      594312201,4,5943,122,1,0,2,2,1
2025,      594703401,4,5947,34,1,2,2,2,1
2025,      594710901,5,5947,109,1,0,1,2,1
2025,      594811201,3,5948,112,1,1,2,2,1
2025,      594812201,2,5948,122,1,0,1,2,1
2025,      594814801,5,5948,148,1,0,9,2,1
2025,      595506301,4,5955,63,1,1,3,2,1
2025,      595714701,4,5957,147,1,1,6,2,1
2025,      596005601,6,5960,56,1,0,11,1,1
2025,      596005601,7,5960,56,1,0,11,2,2
2025,      596401301,5,5964,13,1,0,2,2,1
2025,      596500701,4,5965,7,1,0,1,2,1
2025,      596512901,4,5965,129,1,0,10,2,1
2025,      597302501,3,5973,25,1,0,9,2,1
2025,      599012501,4,5990,125,1,1,6,2,1
2025,      599313901,5,5993,139,1,0,11,2,1
2025,      599316501,5,5993,165,1,2,0,2,1
2025,      599605501,5,5996,55,1,1,6,2,1
2025,      600002501,5,6000,25,1,0,10,2,1
2025,      600908701,4,6009,87,1,0,4,2,1
2025,      600912701,2,6009,127,1,0,9,2,1
2025,      601200101,6,6012,1,1,0,3,2,1
2025,      601303301,4,6013,33,1,1,6,2,1
2025,      601305801,4,6013,58,1,0,10,2,1
2025,      601307001,5,6013,70,1,0,3,2,1
2025,      601309501,4,6013,95,1,0,2,2,1
2025,      601309901,3,6013,99,1,1,5,2,1
2025,      601405601,2,6014,56,1,1,5,2,1
2025,      601504001,3,6015,40,1,0,6,2,1
2025,      601507701,4,6015,77,1,0,3,2,1
2025,      601513901,3,6015,139,1,0,7,2,1
2025,      601514801,5,6015,148,1,0,8,2,1
2025,      601606001,4,6016,60,1,1,2,2,1
2025,      601619001,6,6016,190,1,0,6,2,1
2025,      602101901,5,6021,19,1,2,4,2,1
2025,      602909601,3,6029,96,1,1,6,2,1
2025,      603107501,6,6031,75,1,1,2,2,1
2025,      603910501,5,6039,105,1,0,2,2,1
2025,      604208201,3,6042,82,1,0,6,2,1
2025,      604905301,4,6049,53,1,0,1,1,1
2025,      604905301,5,6049,53,1,0,1,2,2
2025,      604907301,4,6049,73,1,0,8,2,1
2025,      605102401,4,6051,24,1,0,2,2,1
2025,      605307701,5,6053,77,1,1,10,2,1
2025,      605311501,4,6053,115,1,0,10,2,1
2025,      605504201,4,6055,42,1,0,1,2,1
2025,      605504701,4,6055,47,1,1,2,2,1
2025,      605505901,4,6055,59,1,0,6,2,1
2025,      605803201,2,6058,32,1,1,6,2,1
2025,      606103901,4,6061,39,1,0,8,2,1
2025,      606304501,5,6063,45,1,0,10,2,1
2025,      607112801,3,6071,128,1,1,4,2,1
2025,      608703801,5,6087,38,1,1,10,2,1
2025,      610500901,4,6105,9,1,0,5,2,1
2025,      610504601,4,6105,46,1,0,2,2,1
2025,      612502701,4,6125,27,1,0,4,2,1
2025,      612804701,4,6128,47,1,2,0,2,1
2025,      613001901,6,6130,19,1,0,5,2,1
2025,      613404001,3,6134,40,1,0,7,2,1
2025,      613409501,3,6134,95,1,1,11,2,1
2025,      614111201,11,6141,112,1,0,8,2,1
2025,      614402601,3,6144,26,1,1,5,2,1
2025,      614601801,4,6146,18,1,0,1,2,1
2025,      614706201,8,6147,62,1,1,7,2,1
2025,      617303101,5,6173,31,1,0,5,2,1
2025,      617605201,3,6176,52,1,0,6,2,1
2025,      617805201,4,6178,52,1,1,7,2,1
2025,      617811101,6,6178,111,1,1,5,2,1
2025,      618705501,2,6187,55,1,0,2,2,1
2025,      620207701,4,6202,77,1,2,11,2,1
2025,      620905001,7,6209,50,1,0,1,2,1
2025,      621912501,2,6219,125,1,0,2,2,1
2025,      622104502,5,6221,45,2,0,11,2,1
2025,      623014101,3,6230,141,1,1,6,2,1
2025,      623312002,4,6233,120,2,1,11,2,1
