ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,QH91,QH93,QH95,QH96,QH96A,QH96M,QH96AC,QH97D,QH97M,QH97A,QH99,QH101,QH103,QH106,QHVIOLEN,QH100B
2025,      434400501,4344,5,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      434401201,4344,12,1, ,2,2, , , , , , , ,2,2,2,2,1,2
2025,      434402601,4344,26,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      434403101,4344,31,1, ,2,2, , , , , , , , ,2,2,2,1,2
2025,      434404001,4344,40,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      434404601,4344,46,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      434407401,4344,74,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      434407901,4344,79,1, ,2,1,2,1,9,2, , , , ,2,2,2,2,2
2025,      434408101,4344,81,1, ,2,2, , , , , , , , ,2,2, ,1,2
2025,      434500401,4345,4,1, ,2,2, , , , , , , ,2,2,2, ,1,2
2025,      434501401,4345,14,1,2,2,2, , , , , , , , ,1,2,2,1,2
2025,      434503001,4345,30,1,2,2,2, , , , , , , , ,1,2,2,5,2
2025,      434503801,4345,38,1,2,2,2, , , , , , , , ,1,2,2,2,2
2025,      434505801,4345,58,1, ,2,2, , , , , , , , ,2,2,2,1,1
2025,      434506501,4345,65,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      434506801,4345,68,1,2,2,2, , , , , , , , ,2,2, ,0, 
2025,      434508301,4345,83,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      434509001,4345,90,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      434510601,4345,106,1,2,2,2, , , , , , , , ,2,2,2,6,1
2025,      434601401,4346,14,1,2,2,2, , , , , , , , ,1,2,2,2,1
2025,      434602401,4346,24,1, ,2,1,1,5,1,2, , , , ,1,1,2,2,1
2025,      434604801,4346,48,1, ,2,1,1,10,1,2, , , , ,1,2,2,1,1
2025,      434606701,4346,67,1,2,2,2, , , , , , , ,1,2,2,2,4,1
2025,      434607001,4346,70,1, ,2,1,1,10,1,2, , , , ,2,1,2,2,1
2025,      434607201,4346,72,1, ,2,2, , , , , , , , ,2,1, ,0, 
2025,      434609801,4346,98,1, ,2,1,2,9,3,2, , , , ,2,2, ,2,2
2025,      434611301,4346,113,1,2,2,1,1,13,2,2, , , , ,1,2,2,1,1
2025,      434617001,4346,170,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      434617601,4346,176,1, ,2,2, , , , , , , , ,1,2,2,2,1
2025,      434700401,4347,4,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      434702201,4347,22,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      434705501,4347,55,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      434706601,4347,66,1, ,2,2, , , , , , , , ,2,2,2,4,2
2025,      434706801,4347,68,1,2,2,2, , , , , , , , ,2,2, ,4,2
2025,      434707801,4347,78,1, ,2,2, , , , , , , , ,2,2,2,2,2
