Posicion,Feature,Seleccionada,Ranking,Importancia,Importancia_acumulada_pct
1,V040,True,1,0.16472059920531013,16.5
2,V222,True,1,0.145556227691024,31.0
3,IMC,True,1,0.1207732400630903,43.1
4,V012,False,2,0.09608976768327572,52.7
5,V190,True,1,0.08708569066198027,61.4
6,M14,False,4,0.07234717713380838,68.7
7,V025,False,3,0.047330039171492116,73.4
8,V106,False,5,0.04430752927900081,77.8
9,V501,False,6,0.04354620550872297,82.2
10,V201,False,7,0.03993831420050528,86.2
11,V313,False,10,0.02762148229723459,88.9
12,QS206,False,8,0.023075270532158573,91.2
13,QS200,False,9,0.02110017618531132,93.3
14,V302,False,11,0.018873081577127707,95.2
15,QS210,False,12,0.017042854972302058,96.9
16,QS208,False,13,0.013274763139054131,98.3
17,QS209,False,14,0.009087071261018997,99.2
18,QS109,False,15,0.006070696771133839,99.8
19,QS205C,False,16,0.0011260034830053104,99.9
20,QS202,False,16,0.0010338091834435521,100.0
