Posicion,Feature,Seleccionada,Ranking,Importancia,Importancia_acumulada_pct
1,V040,True,1,0.13639882991375007,13.6
2,V222,True,1,0.12703106267329214,26.3
3,IMC,True,1,0.10299019712557675,36.6
4,hemoglobina,False,3,0.09042727776183675,45.7
5,V012,False,4,0.08559313360511756,54.2
6,V190,False,2,0.07224594897432539,61.5
7,M14,False,5,0.060778734457535843,67.5
8,V025,False,6,0.03963286372602299,71.5
9,V501,False,9,0.03818169851506,75.3
10,V201,False,10,0.036010219747933815,78.9
11,V106,False,8,0.03499438756429348,82.4
12,combustible_contaminante,False,7,0.034433060235539506,85.9
13,V313,False,14,0.02464390422929565,88.3
14,QS206,False,11,0.020656315951975483,90.4
15,lengua_materna_indigena,False,13,0.01805564097197373,92.2
16,QS200,False,12,0.017931745625366223,94.0
17,QS210,False,15,0.016360071417609916,95.6
18,V302,False,16,0.016106827600446058,97.2
19,QS208,False,17,0.011145040232614138,98.4
20,control_prenatal_calidad,False,19,0.007865332169690148,99.1
21,atencion_calificada_parto,False,18,0.006808342111109648,99.8
22,QS205C,False,20,0.0009503207482441716,99.9
23,QS202,False,21,0.0007590446413905799,100.0
